A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,50.200,43.200,34.100,30.400,9.600,
69.800,55.700,40.300,26.700,14.600,7.500,
,58.400,44.200,32.400,21.600,11.100,
,66.400,59.600,52.800,39.700,15.900,
,60.900,50.300,35.600,27.400,10.900,
113.200,86.700,60.200,42.400,27.800,8.800,
100.900,69.300,37.600,23.300,15.500,6.900,
,40.600,32.800,21.500,13.800,3.800,
,53.400,42.200,32.600,22.300,4.000,
117.900,98.600,79.600,39.900,25.600,12.100,
,53.100,41.800,33.200,25.400,11.500,
131.200,102.200,76.400,57.900,35.100,18.900,
106.400,84.900,63.700,41.700,34.800,15.400,
,52.600,46.600,40.600,34.800,15.700,
120.600,94.000,76.800,53.400,38.000,17.400,
130.000,101.300,75.700,57.300,34.700,18.700,
,70.700,55.300,32.800,22.700,8.200,
77.200,60.500,46.300,29.200,16.500,8.500,
69.700,55.400,37.300,22.800,12.900,7.000,
,53.600,44.900,34.700,30.500,9.800,
,66.400,57.400,48.300,36.400,14.600,
96.400,71.800,56.600,33.600,23.400,9.000,
88.700,61.200,50.900,44.900,34.800,15.700,
129.800,96.900,73.100,44.300,31.300,16.900,
75.500,63.000,50.100,28.500,16.400,8.500,
116.100,93.600,73.200,53.300,37.400,16.000,
77.600,63.200,53.800,44.700,,10.500,
144.000,112.500,84.600,64.100,,21.100,
83.000,61.900,49.100,32.900,21.600,8.700,
113.700,87.600,71.500,51.000,35.900,16.400,
130.600,109.100,89.100,47.400,34.600,13.300,
,34.400,26.100,16.700,8.900,5.100,
,53.400,43.400,32.900,23.600,9.000,
95.600,70.900,55.700,32.800,22.500,8.100,
98.500,78.400,58.200,42.700,34.000,15.300,
,52.600,46.600,40.600,34.800,15.700,
138.800,112.100,95.100,69.800,49.600,18.500,
,59.200,43.800,33.200,28.400,13.800,
80.300,62.200,48.400,34.500,26.700,14.000,
97.800,76.200,58.000,38.600,29.900,14.700,
95.600,70.900,55.700,32.800,22.500,8.100,
101.600,76.600,60.500,40.800,27.700,14.500,
117.700,93.600,74.000,54.300,38.400,16.300,
