Palmeira,Mista,Mecanizada,1.860,1.500,1.700,1.700.1,2.500,3.753,10.330,10.000,8.000
,Mecanizável,1.033,800,1.000,1.000,1.450,3.015,8.200,8.000,6.000,
,Não Mecanizável,350,350,450,450,650,1.129,2.500,2.500,2.100,
,Inaproveitáveis,160,160,160,160,350,540,800,800,720,
,,,,,,,,,,,
Arenosa,Mecanizada,1.650,1.400,1.652,1.652,2.400,3.528,9.504,9.000,7.200,
Mecanizável,826,800,1.000,1.000,1.350,2.766,7.603,7.500,5.600,,
Não Mecanizável,330,420,430,430,600,1.026,2.300,2.300,1.950,,
Inaproveitáveis,150,150,150,150,300,540,800,800,600,,
