Unnamed: 0,Unnamed: 1,Mecanizada,7.600,8.850,8.900,9.000,9.300,9.500,10.500,18.500,20.600,22.450
,,Mecanizável,4.800,5.750,5.600,5.700,5.900,6.100,8.687,14.800,15.450,16.300
,Mista,,,,,,,,,,,
,,Não Mecanizável,2.900,3.480,3.510,3.600,3.600,3.800,4.220,5.920,7.000,7.400
,,Inaproveitáveis,700,830,850,950,950,1.050,1.200,1.184,1.400,1.500
Piraí do Sul,,,,,,,,,,,,
,,Mecanizada,7.300,8.400,8.520,8.600,8.900,9.300,10.500,17.750,19.800,21.600
,,Mecanizável,4.800,5.500,5.590,5.600,5.880,6.120,8.517,14.500,14.800,15.600
,Arenosa,,,,,,,,,,,
,,Não Mecanizável,2.200,2.500,2.590,2.600,2.790,3.050,4.039,5.800,7.000,7.400
,,Inaproveitáveis,550,630,690,700,730,770,1.092,1.160,1.400,1.500
