Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
62.600,48.000,35.500,22.900,15.700,,,
65.500,55.000,46.300,34.800,25.500,,,
34.300,27.600,21.200,,6.500,,,
48.400,39.300,34.000,18.300,13.800,,,
46.500,33.600,21.800,16.500,13.000,,,
63.800,49.500,36.000,23.100,16.600,,,
47.500,32.400,22.600,21.300,16.700,,,
35.300,29.100,23.100,22.000,15.700,,,
35.000,26.200,18.900,13.200,7.000,,,
35.900,30.400,23.400,22.000,16.300,,,
33.700,28.200,22.300,21.300,15.100,,,
61.300,47.300,34.800,21.900,15.700,,,
52.200,43.700,36.100,18.500,12.200,,,
30.800,26.700,21.200,10.100,5.700,,,
30.300,23.800,18.400,9.600,5.600,,,
58.600,50.000,37.800,29.900,22.000,,,
,34.800,27.800,23.800,17.900,,,
,30.300,25.100,22.000,17.900,,,
44.400,34.700,25.500,17.500,11.700,,,
38.700,30.800,23.200,16.200,8.100,,,
43.300,33.400,24.500,16.500,10.900,,,
,27.900,20.800,,11.700,,,
44.700,32.900,19.100,10.700,8.100,,,
42.900,33.000,24.300,16.100,11.500,,,
43.600,39.000,31.800,24.000,11.900,,,
47.800,37.400,24.900,16.900,14.700,,,
50.700,43.300,33.600,20.500,17.700,,,
35.600,29.800,22.800,22.000,15.900,,,
44.200,35.000,26.000,17.500,11.900,,,
44.000,33.300,24.300,16.400,12.000,,,
26.900,21.800,14.900,10.500,4.700,,,
44.300,37.700,29.300,18.000,15.400,,,
42.900,37.600,33.100,17.800,11.800,,,
39.600,31.200,26.100,14.600,11.600,,,
34.800,29.100,23.000,21.900,16.000,,,
,24.600,18.000,10.100,6.100,,,
52.500,44.600,34.800,21.300,18.300,,,
49.200,38.900,28.700,19.600,13.700,,,
40.600,35.200,29.800,20.300,,,,
54.300,46.200,36.000,22.000,18.900,,,
38.000,26.500,18.000,9.600,6.600,,,
54.900,42.100,32.400,27.000,20.600,,,
,26.300,20.700,,8.900,,,
43.600,39.000,31.800,24.000,11.900,,,
62.700,48.600,36.000,23.100,16.600,,,
40.100,31.100,23.100,14.500,12.100,,,
35.600,29.000,23.100,21.200,16.100,,,
52.000,37.400,28.200,19.600,15.400,,,
39.200,30.700,23.900,16.700,8.400,,,
