Paulo Frontin,Unnamed: 0,46.100,33.700,24.700,11.900,7.400,3.300
Peabiru,123.500,98.400,84.100,71.600,53.500,36.000,17.800
Perobal,,,54.800,38.100,31.500,26.100,12.300
Pérola,,,42.900,36.400,33.200,23.600,12.300
Pérola d'Oeste,,109.700,87.800,67.200,42.800,28.900,11.100
Piên,,56.900,44.600,33.500,22.800,11.500,7.200
Pinhal de São Bento,,102.800,80.600,62.100,39.300,25.700,10.400
Pinhalão,,,50.600,37.600,29.800,22.800,9.900
Pinhão,,72.900,51.800,29.300,16.500,12.000,5.100
Piraí do Sul,,75.700,54.700,41.900,26.900,17.900,7.700
Piraquara,,47.700,40.600,32.300,23.400,11.500,6.600
Pitanga,,77.500,61.100,38.400,29.900,22.300,11.000
Pitangueiras,95.500,81.400,69.500,54.100,33.400,27.600,12.000
Planaltina do Paraná,,,40.500,33.900,26.000,24.000,7.200
Planalto,,105.700,84.600,64.700,41.700,28.300,10.700
Ponta Grossa,,75.900,53.800,41.800,27.500,18.500,8.700
Pontal do Paraná,,36.100,29.000,20.000,14.000,6.500,3.600
Porecatu,80.300,70.400,59.700,46.900,25.800,21.700,10.300
Porto Amazonas,,66.000,57.600,45.900,27.200,16.500,7.600
Porto Barreiro,,70.200,57.500,43.700,26.800,18.100,6.500
Porto Rico,,,39.900,33.200,26.100,23.900,7.200
Porto Vitória,,,32.900,23.200,12.800,7.400,2.900
Prado Ferreira,97.200,83.100,70.300,54.600,33.800,28.500,12.000
Pranchita,,119.800,98.000,76.400,48.300,33.100,12.100
Presidente Castelo Branco,,81.400,62.600,51.300,36.900,,10.500
Primeiro de Maio,101.500,84.800,72.000,56.200,38.500,32.300,12.400
Prudentópolis,,62.700,42.200,27.600,14.800,10.000,4.200
Quarto Centenário,112.900,90.000,76.700,65.300,48.800,32.800,16.200
Quatiguá,,,46.500,35.400,23.700,18.100,7.700
Quatro Barras,,47.700,40.600,32.300,23.400,11.500,6.600
Quatro Pontes,118.800,99.300,76.000,57.600,35.500,25.200,12.800
Quedas do Iguaçu,,63.800,49.000,36.100,25.500,14.800,6.900
Querência do Norte,,,40.500,33.200,26.200,23.700,7.300
Quinta do Sol,110.800,88.300,75.200,64.000,47.800,32.200,15.900
Quitandinha,,58.600,45.500,34.400,23.200,11.500,7.300
Ramilândia,,91.500,71.700,48.100,29.300,19.000,10.000
Rancho Alegre,93.900,72.300,61.200,57.800,35.200,24.400,6.600
Rancho Alegre d'Oeste,112.900,90.000,76.700,65.300,48.800,32.800,16.200
Realeza,,115.400,94.300,72.600,46.500,31.400,11.700
Rebouças,,53.000,43.100,32.100,19.300,11.300,6.100
Renascença,,119.800,98.000,76.400,48.300,33.100,12.100
Reserva,,,51.600,41.400,26.400,17.600,7.300
Reserva do Iguaçu,,69.700,49.300,31.000,17.600,12.300,5.100
Ribeirão Claro,,,43.000,33.700,23.700,18.100,8.400
Ribeirão do Pinhal,,65.800,52.400,39.700,26.000,16.900,6.500
Rio Azul,,47.400,37.500,29.200,18.500,10.700,5.900
Rio Bom,93.900,73.000,59.300,47.300,32.900,22.200,11.700
Rio Bonito do Iguaçu,,69.700,53.300,41.000,28.700,19.500,6.500
Rio Branco do Ivaí,,76.400,64.600,40.600,,22.800,11.600
Rio Branco do Sul,,,28.800,22.100,14.300,7.600,4.800
Rio Negro,,58.600,45.300,34.000,23.200,11.500,7.300
Rolândia,109.900,87.300,74.100,57.900,41.000,34.400,12.800
Roncador,119.300,94.500,80.600,68.400,51.200,34.400,17.000
Rondon,,,48.900,40.600,34.900,25.200,10.200
