Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
45.800,39.800,31.800,17.300,13.000,,,
58.600,45.300,33.700,22.400,15.400,,,
56.800,45.100,35.600,24.900,20.300,,,
,33.600,29.000,23.100,19.800,,,
39.700,30.600,23.300,13.700,11.100,,,
62.900,49.500,35.400,20.000,15.400,,,
48.000,38.600,30.000,21.000,10.400,,,
49.800,35.000,26.100,22.900,17.300,,,
31.400,25.500,20.000,10.500,5.900,,,
67.700,50.500,35.700,23.200,17.300,,,
64.200,50.000,36.000,22.900,15.700,,,
53.800,41.900,29.300,21.700,16.700,,,
37.700,31.100,24.500,22.700,16.800,,,
44.300,36.000,27.300,18.100,11.500,,,
47.200,37.600,30.900,22.800,18.400,,,
,24.100,19.800,,12.100,,,
65.400,54.600,46.000,34.400,25.300,,,
46.100,37.300,31.900,15.700,11.300,,,
,39.500,28.700,,12.700,,,
82.000,61.000,43.100,28.100,,,,
48.100,44.200,27.400,18.600,10.900,,,
55.800,47.100,36.700,22.600,19.100,,,
,29.200,22.900,,10.100,,,
46.100,37.300,31.900,15.700,11.300,,,
51.400,40.600,31.600,17.200,14.500,,,
48.200,33.800,24.300,22.300,17.300,,,
,31.100,26.500,23.100,19.800,,,
,33.600,29.000,25.600,19.800,,,
45.800,35.000,27.600,16.800,8.600,,,
,37.300,26.800,,13.500,,,
54.600,39.200,29.700,20.400,16.400,,,
38.300,31.900,24.400,22.700,16.500,,,
62.700,49.600,35.700,21.800,,,,
51.800,39.600,29.200,19.200,13.700,,,
41.200,32.000,24.500,16.900,8.500,,,
67.000,50.600,38.600,23.100,16.600,,,
,32.900,22.900,,11.900,,,
62.400,45.100,32.000,21.600,16.400,,,
,23.600,18.400,,6.600,,,
57.800,47.800,31.500,25.600,19.800,,,
67.000,50.600,38.600,23.100,16.600,,,
44.900,30.600,19.900,11.000,7.600,,,
62.600,47.300,35.600,29.600,20.000,,,
,31.100,26.500,23.100,19.800,,,
31.200,24.800,18.600,9.200,5.900,,,
41.900,35.800,30.300,21.100,,,,
43.300,34.600,27.000,18.400,11.300,,,
51.900,39.900,29.500,19.300,13.800,,,
65.600,48.900,34.500,22.500,16.700,,,
