A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
90.600,71.000,58.400,36.700,20.200,11.000,
116.000,93.100,74.000,41.500,32.600,11.800,
103.900,84.200,66.000,47.900,33.700,14.400,
,56.300,42.100,21.100,12.200,5.400,
126.700,102.600,81.600,49.300,34.000,12.900,
78.900,57.200,49.400,45.300,35.200,15.700,
,64.400,53.400,42.000,32.700,10.800,
111.500,86.300,76.800,50.400,42.500,18.600,
,68.700,52.400,36.200,26.300,13.500,
112.300,89.600,69.700,41.400,27.800,14.400,
,72.300,59.900,47.500,37.200,12.300,
85.200,73.300,61.600,30.600,21.600,7.800,
128.400,106.200,84.400,51.600,35.600,15.300,
,57.200,49.400,45.300,35.200,15.700,
131.800,102.200,86.200,57.100,41.300,17.100,
,41.300,30.600,20.600,12.400,5.500,
124.400,99.600,78.500,48.900,34.000,12.700,
123.500,100.400,79.100,57.800,40.700,17.400,
126.800,93.900,74.000,45.500,31.700,17.000,
,52.800,49.400,45.300,35.200,15.700,
104.400,89.600,74.600,37.700,26.300,7.400,
117.700,95.600,75.400,55.000,38.800,16.600,
111.700,86.000,76.400,49.900,42.300,18.400,
79.700,55.500,42.900,29.300,16.600,7.200,
112.600,91.400,72.000,52.600,37.100,15.800,
83.400,63.800,51.100,23.800,14.800,9.000,
,66.100,53.100,39.500,30.000,13.300,
125.500,101.100,79.800,48.800,32.900,13.300,
113.400,86.900,70.800,56.600,44.400,18.400,
139.500,111.600,94.200,69.300,49.400,18.600,
102.000,81.200,70.200,56.100,41.000,17.000,
103.200,76.800,62.800,46.400,,11.500,
126.900,93.900,72.300,45.500,31.700,17.000,
141.400,111.700,85.200,62.300,38.500,20.900,
83.900,58.000,35.000,23.500,16.300,6.800,
103.100,74.500,58.000,49.600,39.500,15.700,
126.400,103.400,83.100,51.400,34.500,16.200,
,47.600,31.500,22.400,13.400,5.400,
105.800,83.600,69.800,45.300,40.000,17.800,
110.300,89.200,70.400,51.600,36.500,15.500,
82.100,56.900,35.700,24.400,16.400,6.800,
105.900,83.300,69.800,45.500,40.200,18.100,
124.300,98.000,71.600,44.300,31.600,16.800,
