Unnamed: 0,Unnamed: 1,Mecanizada,2.600,2.600.1,3.200,4.000,6.000,10.000,13.000,11.200,9.000
,,Mecanizável,-,-,-,-,-,-,-,,
,Roxa,,,,,,,,,,
,,Não Mecanizável,1.000,1.000,1.350,1.650,2.400,2.700,4.600,4.000,3.150
,,Inaproveitáveis,-,-,950,1.150,600,1.000,1.300,1.120,900
,,Mecanizada,2.000,2.000,2.300,3.200,5.100,8.500,11.600,9.800,8.000
,,Mecanizável,-,-,-,-,-,-,-,,
Uniflor,Mista,,,,,,,,,,
,,Não Mecanizável,1.000,1.000,1.200,1.500,2.400,2.700,4.000,3.450,2.800
,,Inaproveitáveis,-,-,850,1.050,480,850,1.160,980,800
,,Mecanizada,1.800,1.800,1.850,2.400,4.000,6.200,9.000,7.600,6.600
,,Mecanizável,-,-,-,-,-,-,-,,
,Arenosa,,,,,,,,,,
,,Não Mecanizável,1.000,1.000,1.000,1.200,2.000,2.400,4.000,3.450,2.300
,,Inaproveitáveis,-,-,700,900,400,620,900,760,660
