Terra Boa,Roxa,Mecanizada,3.500,3.800,4.370,4.720,6.844,11.668,14.006,11.504,11.818
,Mecanizável,2.750,2.500,2.875,3.105,4.658,7.957,9.804,8.192,8.298,
,Não Mecanizável,2.300,1.200,1.320,1.425,2.280,3.917,4.902,3.521,4.380,
,Inaproveitáveis,-,-,350,378,616,1.072,980,1.150,1.182,
,,,,,,,,,,,
Mista,Mecanizada,2.280,2.100,2.200,2.376,4.039,6.867,10.485,8.737,8.579,
,Mecanizável,1.950,1.650,1.800,1.944,3.305,5.619,7.462,5.623,6.653,
,Não Mecanizável,1.650,1.100,1.050,1.134,1.928,3.278,4.104,2.593,4.380,
,Inaproveitáveis,1.250,700,210,227,364,618,853,874,858,
,,,,,,,,,,,
Arenosa,Mecanizada,,,,,,,,,,
Mecanizável,,,,,,,,,,,
Não Mecanizável,,,,,,,,,,,
Inaproveitáveis,,,,,,,,,,,
