"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Centenário do Sul,Roxa,Mecanizada,8.000,8.500,8.755,8.755,11.000,11.660,11.780,24.500,27.680,32.000
,,Mecanizável,8.000,8.500,8.755,8.755,11.000,11.660,11.780,18.375,20.760,24.000
,,Não Mecanizável,3.500,4.200,4.320,4.320,5.400,5.720,5.800,12.250,13.840,16.100
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
,Mista,Mecanizada,6.200,7.400,7.620,7.620,9.550,10.120,10.220,19.600,22.144,26.000
,,Mecanizável,6.200,7.400,7.620,7.620,9.550,10.120,10.220,14.700,16.608,19.500
,,Não Mecanizável,3.500,4.200,4.320,4.320,5.400,5.720,5.500,8.820,11.072,13.000
,,Inaproveitáveis,3.500,4.200,4.320,4.320,5.400,5.400,5.200,5.880,5.536,6.500
,,,,,,,,,,,,
,Arenosa,Mecanizada,5.400,6.600,6.820,6.820,8.550,9.060,9.150,15.680,17.715,20.500
,,Mecanizável,5.400,6.600,6.820,6.820,8.550,9.060,9.150,11.760,13.286,15.000
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
Cerro Azul,Mista,Mecanizada,1.777,6.198,6.198,7.231,7.748,8.512,9.091,9.090,10.744,12.033
,,Mecanizável,1.777,5.992,4.959,5.785,6.198,6.942,7.438,7.272,8.595,9.626
,,Não Mecanizável,413,2.066,2.066,2.397,2.479,2.777,2.975,3.091,3.653,4.091
,,Inaproveitáveis,61,413,310,372,372,409,1.777,2.000,2.364,2.647
,,,,,,,,,,,,
Céu Azul,Roxa,Mecanizada,13.500,19.914,30.992,18.500,19.800,20.000,23.000,29.440,31.200,39.256
,,Mecanizável,10.600,15.636,23.244,14.372,15.378,15.500,17.825,22.816,25.000,31.250
,,Não Mecanizável,5.200,7.670,15.500,9.400,10.060,10.150,11.675,14.944,15.840,19.800
,,Inaproveitáveis,3.200,6.136,15.500,6.299,6.740,6.800,6.800,10.000,5.030,5.523
,,,,,,,,,,,,
Chopinzinho,Mista,Mecanizada,8.500,12.500,16.500,15.500,17.000,18.200,24.000,26.500,27.000,30.000
Mecanizável,6.200,8.500,11.500,11.000,12.000,12.900,16.800,18.000,18.300,21.000,,
Não Mecanizável,3.800,5.750,6.800,6.500,6.800,7.300,9.600,9.800,10.000,10.500,,
Inaproveitáveis,650,700,950,900,1.100,1.300,1.500,1.600,1.650,1.700,,
,,,,,,,,,,,,
