A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
77.400,61.000,46.200,30.500,20.300,8.200,
,32.600,24.700,16.700,8.500,4.700,
68.700,51.400,38.900,25.300,12.300,7.600,
62.100,43.100,33.200,22.500,10.800,6.000,
103.000,82.800,64.700,47.100,33.100,14.100,
,52.600,46.600,40.600,34.800,15.700,
,52.800,44.000,34.100,29.500,9.600,
122.900,74.000,55.200,49.100,39.100,15.700,
,61.200,50.900,44.900,34.800,15.700,
98.700,78.500,59.500,39.200,30.100,15.000,
,54.600,42.700,32.700,23.000,8.900,
138.100,111.800,87.000,53.800,35.800,14.100,
133.300,104.200,78.300,59.200,36.100,19.500,
83.000,61.900,49.100,32.900,21.600,8.700,
120.600,94.000,76.800,53.400,38.000,17.400,
,50.000,36.200,26.600,17.200,4.000,
69.600,47.100,25.500,15.800,8.500,3.800,
104.900,79.200,62.700,41.800,28.500,14.900,
123.100,89.800,70.400,48.000,33.600,17.500,
95.600,70.900,55.700,32.800,22.500,8.100,
98.800,72.400,56.700,42.400,28.800,14.900,
117.700,93.600,74.000,54.300,38.400,16.300,
73.300,54.100,41.200,26.400,12.600,7.400,
97.200,71.500,56.200,41.900,28.500,14.600,
76.200,59.700,45.700,29.500,20.900,8.600,
134.800,101.400,76.600,47.900,33.100,16.900,
120.600,94.000,76.800,53.400,38.000,17.400,
104.300,77.800,63.800,46.500,,11.000,
75.600,55.000,42.500,26.300,12.700,7.500,
79.500,59.100,45.300,29.100,21.600,8.500,
110.300,88.800,69.400,50.600,35.500,15.200,
82.400,67.800,53.500,38.700,29.300,15.000,
126.100,98.900,78.400,49.100,32.700,12.900,
135.100,108.200,85.100,53.100,35.600,14.900,
98.700,78.500,59.500,39.200,30.100,15.000,
,47.400,41.400,18.800,12.000,4.600,
129.500,104.900,82.500,60.000,42.200,18.100,
138.100,110.600,88.200,53.800,37.000,14.100,
93.200,73.700,46.300,36.100,26.800,13.200,
125.300,97.600,72.900,55.200,33.500,16.600,
,40.000,30.900,18.200,10.100,5.800,
126.100,98.900,78.400,49.100,32.700,12.900,
101.600,76.600,60.500,40.800,27.700,14.500,
