A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
125.400,97.200,75.100,55.500,34.200,18.400,
,50.700,40.300,28.100,17.900,5.200,
104.100,80.500,48.900,38.200,26.200,10.000,
145.000,113.600,93.400,63.200,50.300,25.200,
126.300,98.100,76.100,56.500,35.100,18.800,
127.300,94.000,74.100,45.500,31.800,17.100,
,67.700,56.000,44.300,33.700,11.400,
83.000,66.400,56.000,48.300,40.100,14.200,
130.200,102.500,79.100,58.100,35.800,19.500,
101.400,81.900,64.700,47.500,35.800,17.500,
,66.800,53.700,40.600,25.000,5.200,
109.700,79.500,66.200,48.700,,11.900,
81.200,68.500,57.400,47.400,,11.500,
103.300,67.500,55.900,43.700,34.000,11.200,
117.300,86.600,71.700,58.100,45.300,15.800,
132.200,104.400,78.800,58.300,35.900,19.100,
119.200,97.100,76.600,55.900,42.000,20.700,
121.100,81.400,67.800,49.100,,12.000,
128.300,103.000,79.600,49.500,34.000,13.000,
116.900,86.200,72.400,59.100,47.200,15.800,
91.600,72.300,53.300,39.600,27.100,9.400,
,67.700,56.900,45.000,35.400,11.700,
,57.000,46.600,40.900,35.300,15.900,
128.800,105.100,83.300,50.500,34.500,14.200,
117.900,86.600,73.000,59.500,47.500,15.800,
132.600,100.100,78.600,47.300,34.500,17.100,
99.100,77.800,47.500,37.400,26.200,10.100,
118.200,95.100,79.300,57.300,40.600,20.700,
,89.400,64.000,40.600,28.600,9.500,
134.100,104.100,90.700,60.200,43.700,18.100,
131.700,99.200,75.000,47.300,31.800,17.100,
144.500,114.800,100.800,70.600,52.500,19.700,
112.900,87.100,71.000,38.800,25.200,11.500,
132.200,98.500,70.900,45.100,31.900,11.300,
97.800,76.800,46.900,35.300,24.900,10.100,
132.600,100.100,78.600,47.300,34.600,17.100,
103.300,67.500,55.900,43.700,34.000,11.200,
,64.000,53.100,41.600,32.100,10.800,
,61.400,44.800,32.600,21.500,5.200,
,63.200,52.400,40.900,32.100,10.800,
,67.200,55.700,43.700,34.000,11.200,
127.300,94.000,74.100,45.500,31.800,17.100,
144.600,111.500,91.000,49.600,32.200,14.600,
