Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
33.700,28.600,22.400,12.000,8.500,,,
34.700,29.300,22.500,21.200,15.700,,,
35.100,29.400,22.400,21.200,16.300,,,
36.500,31.000,22.900,15.300,10.900,,,
49.700,32.700,24.900,24.700,,,,
61.800,47.800,36.100,21.900,15.700,,,
39.500,31.300,23.500,14.300,9.900,,,
40.900,32.600,24.200,,15.200,,,
36.900,32.200,27.500,18.400,,,,
60.100,44.400,31.600,22.700,18.400,,,
37.800,31.000,23.800,15.400,9.300,,,
48.800,38.700,30.600,20.700,18.000,,,
46.000,38.500,31.400,16.600,12.200,,,
,21.900,16.800,,6.000,,,
34.600,28.700,22.100,21.900,15.600,,,
35.600,29.200,21.200,15.300,10.900,,,
38.900,30.300,21.600,17.300,15.300,,,
,27.400,22.200,20.200,,,,
63.700,53.500,44.800,33.700,24.800,,,
,25.000,20.000,,10.800,,,
33.900,25.400,21.000,10.800,8.900,,,
43.100,36.700,28.500,15.600,13.300,,,
36.400,31.100,22.900,15.500,11.000,,,
44.700,37.800,30.800,19.900,13.400,,,
54.600,39.500,25.800,19.100,14.700,,,
,25.000,20.000,,10.800,,,
45.700,36.300,30.200,22.100,17.800,,,
37.000,29.100,21.100,16.000,13.900,,,
34.700,29.300,22.500,21.200,15.700,,,
35.500,29.300,22.600,14.900,8.900,,,
61.800,47.800,36.100,21.900,15.700,,,
,24.600,19.600,,8.400,,,
,25.300,20.000,,8.600,,,
56.300,42.300,31.900,24.600,18.000,,,
45.200,37.700,30.900,23.600,16.900,,,
44.200,37.300,30.800,19.800,13.300,,,
41.000,32.800,24.500,17.100,8.600,,,
38.800,34.100,26.000,18.100,14.900,,,
37.100,28.800,24.900,13.700,11.300,,,
38.000,31.000,23.800,15.500,9.300,,,
37.300,30.800,24.300,17.200,13.300,,,
59.100,40.500,27.800,20.900,15.800,,,
32.400,28.400,21.800,21.200,15.100,,,
40.200,34.800,29.300,20.100,,,,
53.500,45.500,35.300,21.700,18.600,,,
64.000,50.400,39.900,33.100,22.900,,,
37.300,30.800,24.300,17.200,13.300,,,
36.800,34.000,27.900,15.300,13.000,,,
33.800,26.800,19.900,12.100,8.400,,,
