"Ouro Verde doOeste",Roxa,Mecanizada,3.968,3.070,5.531,4.892,4.960,9.545,12.728,13.817,11.744
Mecanizável,2.300,-,-,-,-,-,-,,,,
Não Mecanizável,1.392,-,-,-,-,-,-,,,,
Inaproveitáveis,1.320,-,-,-,-,-,-,,,,
