Unnamed: 0,Unnamed: 1,Mecanizada,11.000,13.750,13.750.1,15.100,18.500,22.000,24.500,30.000,33.000,39.500
,,Mecanizável,,,,,,,,,,
,Mista,,,,,,,,,,,
,,Não Mecanizável,5.500,6.875,6.875,7.550,9.250,11.000,12.250,15.000,16.500,19.750
,,Inaproveitáveis,1.100,1.375,1.375,1.510,1.850,2.200,2.450,3.000,5.940,6.500
,,Mecanizada,10.000,12.500,12.500,13.750,16.700,20.000,22.000,27.000,29.700,35.500
,,Mecanizável,,,,,,,,,,
Floraí,Roxa,,,,,,,,,,,
,,Não Mecanizável,5.000,6.250,6.250,6.875,8.350,10.000,11.000,13.500,14.850,17.750
,,Inaproveitáveis,1.000,1.250,1.250,1.375,1.670,2.000,2.200,2.700,5.350,7.100
,,Mecanizada,9.000,11.500,11.500,12.650,15.000,18.000,20.000,24.300,26.800,30.500
,,Mecanizável,,,,,,,,,,
,Mista,,,,,,,,,,,
,,Não Mecanizável,3.500,5.750,5.750,6.325,7.500,9.000,10.000,12.150,13.400,15.250
,,Inaproveitáveis,900,1.150,1.150,1.265,1.500,1.800,2.000,2.430,4.820,6.100
