"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
"Nova América daColina",Roxa,Mecanizada,9.091,10.124,10.331,10.661,11.570,12.397,13.843,15.496,24.793,27.273
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,5.000,5.206,5.248,5.413,5.901,6.198,7.025,7.645,11.157,12.496,
,Inaproveitáveis,910,938,940,959,1.012,1.063,1.201,1.320,1.673,2.000,
,,,,,,,,,,,,
Nova Aurora,Roxa,Mecanizada,12.000,23.099,23.099,20.000,22.100,22.727,30.000,35.192,35.192,36.951
,Mecanizável,9.000,19.634,19.650,17.500,19.200,19.834,20.661,24.236,24.236,25.447,
,Não Mecanizável,6.300,9.293,9.300,9.250,9.700,10.500,12.400,14.546,14.546,15.273,
,Inaproveitáveis,3.000,4.424,8.800,6.500,7.100,7.100,7.100,9.400,6.260,6.573,
,,,,,,,,,,,,
Nova Cantu,Roxa,Mecanizada,11.570,14.876,20.300,19.082,20.661,25.289,25.289,38.614,40.000,41.095
,Mecanizável,7.851,10.744,12.963,12.574,13.000,21.495,21.495,32.821,32.000,34.930,
,Não Mecanizável,3.967,7.438,7.009,6.800,7.050,7.500,7.500,10.500,13.500,16.115,
,Inaproveitáveis,1.116,1.250,1.285,1.230,1.280,3.750,3.750,4.500,4.500,4.750,
,,,,,,,,,,,,
Nova Esperança,Roxa,Mecanizada,10.000,12.500,12.500,13.100,16.000,18.500,24.500,27.500,30.300,35.000
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,5.000,6.250,6.250,6.550,8.000,9.250,12.250,13.750,15.150,17.500,
,Inaproveitáveis,1.000,1.250,1.250,1.310,1.600,1.850,2.450,2.750,5.450,5.700,
,,,,,,,,,,,,
,Mista,Mecanizada,9.000,11.500,11.500,12.100,14.600,17.000,22.000,24.750,27.300,31.000
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,4.500,5.750,5.750,6.050,7.300,8.500,11.000,12.375,13.650,15.500,
,Inaproveitáveis,900,1.150,1.150,1.210,1.460,1.700,2.200,2.475,4.910,6.200,
,,,,,,,,,,,,
,Arenosa,Mecanizada,8.000,10.000,10.000,10.500,12.500,15.000,20.000,22.275,23.400,27.000
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,4.000,5.000,5.000,5.250,6.250,7.500,10.000,11.138,11.700,13.500,
,Inaproveitáveis,800,1.000,1.000,1.050,1.250,1.500,2.000,2.228,4.210,5.400,
,,,,,,,,,,,,
"Nova Esperançado Sudoeste",Mista,Mecanizada,10.000,13.000,14.500,15.000,17.500,20.700,26.000,32.000,33.000,40.000
Mecanizável,,,,,,17.700,20.800,25.600,26.400,32.000,,
Não Mecanizável,3.500,4.960,5.000,5.000,6.200,8.260,8.260,10.500,11.200,16.000,,
Inaproveitáveis,800,992,1.000,1.000,1.100,1.300,1.560,2.000,2.000,2.300,,
,,,,,,,,,,,,
