Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,30.000,22.200,22.000,,,,
43.800,37.000,30.200,19.500,13.100,,,
36.600,30.800,25.200,14.400,11.900,,,
56.100,47.800,37.100,22.700,19.500,,,
44.700,37.800,30.800,19.900,13.400,,,
58.100,43.400,32.800,25.600,18.300,,,
41.800,29.900,19.700,11.300,8.300,,,
34.100,28.300,22.400,18.000,8.900,,,
58.600,41.600,28.700,22.500,17.800,,,
39.200,31.300,23.500,16.500,8.200,,,
43.300,34.200,26.200,18.600,9.300,,,
42.600,33.600,26.000,,9.200,,,
62.900,55.200,49.400,32.700,23.900,,,
38.700,33.900,25.800,18.000,14.700,,,
46.900,34.600,21.400,12.200,9.100,,,
43.000,30.600,19.900,11.400,8.800,,,
41.800,32.900,24.500,16.600,11.300,,,
60.000,44.100,31.300,22.100,15.900,,,
37.400,31.100,22.900,15.500,11.000,,,
,25.500,20.300,,13.500,,,
59.600,44.100,31.200,22.200,18.000,,,
37.500,30.900,22.700,15.400,10.300,,,
58.600,43.200,31.200,21.800,18.300,,,
36.800,34.000,27.900,15.300,13.000,,,
,22.700,18.400,,6.400,,,
60.500,44.900,31.100,22.800,18.200,,,
39.700,32.500,28.100,14.400,11.100,,,
44.000,32.700,26.700,22.700,17.500,,,
,27.400,22.200,22.000,,,,
46.000,37.600,33.100,13.500,9.100,,,
50.700,45.900,38.500,29.600,14.700,,,
36.900,32.200,27.500,18.400,,,,
,28.300,20.900,,13.100,,,
,25.000,20.000,,10.800,,,
42.300,35.400,27.800,19.800,9.800,,,
60.900,44.300,30.800,22.400,17.100,,,
38.000,29.800,22.800,14.300,8.800,,,
31.100,24.100,20.100,,5.600,,,
40.900,33.500,26.500,14.400,11.000,,,
45.100,34.000,25.200,,16.100,,,
,23.600,18.200,7.900,5.600,,,
46.200,35.800,26.500,18.000,12.400,,,
49.700,30.000,22.200,22.000,,,,
37.100,34.600,25.300,21.200,16.800,,,
41.300,31.000,22.700,19.100,14.900,,,
,23.100,18.400,,10.200,,,
55.500,41.300,26.700,18.200,13.600,,,
34.600,28.700,22.100,21.900,15.600,,,
35.700,29.200,21.300,15.400,13.100,,,
