Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
66.400,50.000,37.200,22.900,15.700,,,
65.400,54.600,46.000,34.400,25.300,,,
43.300,34.800,26.400,,8.700,,,
50.700,40.900,34.900,19.000,14.200,,,
49.800,39.300,26.100,22.800,16.600,,,
67.000,50.600,38.600,23.100,16.600,,,
48.200,33.800,24.300,22.300,17.300,,,
38.000,31.000,24.700,22.800,16.600,,,
37.500,27.700,20.600,14.400,7.500,,,
38.600,32.200,24.900,22.800,17.000,,,
36.700,31.000,23.900,22.200,16.000,,,
64.200,47.800,36.500,22.000,15.700,,,
65.000,54.100,44.400,23.200,15.300,,,
32.700,27.300,21.600,11.100,6.100,,,
32.000,24.800,19.300,10.500,6.100,,,
63.800,54.200,41.300,32.300,23.900,,,
,47.800,32.300,27.300,19.800,,,
,33.600,29.000,24.000,19.800,,,
58.600,46.300,33.700,22.900,15.400,,,
39.800,31.600,23.900,16.600,8.400,,,
55.000,42.500,31.200,20.800,13.700,,,
,29.900,21.900,,12.500,,,
51.900,37.300,21.300,12.200,8.900,,,
52.400,40.400,29.700,19.700,14.100,,,
44.100,38.700,31.200,23.200,11.500,,,
50.700,40.100,26.100,23.800,16.600,,,
50.800,42.900,33.400,20.500,17.300,,,
38.300,31.700,24.400,22.800,16.800,,,
56.500,44.600,33.200,22.100,15.000,,,
53.300,40.500,29.800,19.900,14.500,,,
30.000,24.400,16.900,11.900,5.500,,,
44.900,37.800,29.400,18.200,15.300,,,
45.200,39.000,34.000,18.600,12.500,,,
47.500,35.700,29.400,18.900,12.900,,,
37.700,31.100,24.500,22.700,16.800,,,
,25.400,18.900,11.000,6.600,,,
52.500,44.200,34.400,21.300,17.900,,,
63.800,50.400,37.200,25.200,17.600,,,
41.900,35.800,30.300,21.100,,,,
54.200,45.700,35.600,21.900,18.500,,,
44.400,31.000,20.500,11.000,7.500,,,
55.800,42.800,33.000,27.300,20.900,,,
,29.200,22.900,,10.100,,,
44.100,38.700,31.200,23.200,11.500,,,
66.900,50.000,37.700,23.100,16.600,,,
47.900,36.400,26.900,18.800,13.300,,,
38.200,31.100,24.600,22.300,16.900,,,
56.500,40.800,30.900,21.500,16.900,,,
40.300,31.700,24.200,16.700,8.400,,,
