Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
41.000,33.500,25.100,17.400,10.300,,,
,22.200,16.900,12.700,6.200,,,
39.000,30.900,23.400,16.200,8.000,,,
,30.600,24.000,,8.600,,,
40.800,31.900,26.000,20.500,16.300,,,
,31.100,26.500,24.800,19.800,,,
37.200,31.300,24.300,21.800,16.600,,,
61.900,47.800,32.300,27.300,19.800,,,
,36.900,31.500,24.800,19.800,,,
50.800,42.900,33.400,20.500,17.300,,,
38.600,32.000,24.600,22.700,16.600,,,
59.200,46.800,34.500,22.900,15.300,,,
67.400,50.200,36.500,25.800,19.500,,,
44.000,35.700,27.700,18.700,11.800,,,
54.000,43.200,35.500,22.100,19.300,,,
37.500,27.700,20.600,14.400,7.500,,,
32.500,27.300,19.600,9.800,6.300,,,
48.600,40.400,32.900,22.000,14.600,,,
58.300,46.800,37.600,25.800,17.600,,,
51.900,42.000,30.700,19.300,13.800,,,
51.300,39.600,28.300,,13.900,,,
46.400,34.800,30.300,23.800,18.500,,,
48.700,38.600,29.800,21.000,10.400,,,
48.700,38.300,27.300,,13.600,,,
44.000,34.200,25.800,16.500,10.200,,,
66.700,50.000,37.700,23.800,16.600,,,
54.000,43.200,35.500,22.100,19.300,,,
42.000,36.000,30.400,21.100,,,,
48.700,38.100,30.000,20.700,10.200,,,
43.200,34.500,26.300,17.400,10.900,,,
46.500,35.000,26.300,,16.400,,,
42.900,35.700,28.900,17.300,13.800,,,
54.800,42.900,31.500,21.200,13.900,,,
58.600,46.300,33.700,22.900,15.400,,,
52.500,44.200,34.400,21.300,17.900,,,
,27.800,20.500,9.800,6.900,,,
63.500,45.900,34.700,26.700,19.700,,,
59.800,46.800,34.400,23.200,15.900,,,
49.500,39.200,26.000,23.800,16.600,,,
66.200,50.000,35.100,23.600,17.600,,,
,28.100,22.000,,7.800,,,
54.800,42.900,31.500,21.200,13.900,,,
46.700,38.900,31.500,21.300,14.100,,,
64.000,53.800,41.600,24.300,15.800,,,
52.200,40.200,27.500,20.600,14.300,,,
64.900,46.600,32.500,24.800,19.300,,,
61.900,47.800,38.200,29.000,19.800,,,
37.800,34.400,28.200,15.800,13.300,,,
75.600,56.900,42.700,27.800,21.300,,,
