Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
28.000,22.300,16.700,8.600,7.500,,,
38.400,29.300,21.700,14.600,9.700,,,
42.700,34.800,27.600,13.600,9.400,,,
37.100,27.900,18.600,15.700,11.200,,,
53.200,39.000,29.000,19.300,14.800,,,
,25.500,22.200,22.100,,,,
54.800,43.900,34.900,24.100,19.900,,,
55.200,44.300,35.900,22.200,16.600,,,
34.000,29.100,22.100,20.600,14.900,,,
49.300,34.400,24.900,24.700,,,,
63.800,53.700,45.700,33.900,25.300,,,
46.100,39.400,32.000,16.000,11.400,,,
54.700,42.200,32.300,22.600,15.700,,,
42.000,33.200,24.500,16.800,11.500,,,
31.800,26.500,21.000,15.100,12.900,,,
43.100,36.300,29.700,19.400,13.000,,,
44.800,32.100,23.500,16.300,15.400,,,
25.900,20.600,13.600,10.300,4.700,,,
36.700,28.100,21.000,17.700,11.100,,,
55.200,44.300,35.900,22.200,16.600,,,
46.300,35.200,24.600,17.800,16.200,,,
53.400,41.100,31.200,20.800,14.800,,,
34.400,29.200,22.300,21.100,16.800,,,
37.000,34.300,28.400,15.100,13.000,,,
46.500,34.500,24.400,20.000,16.000,,,
54.100,38.700,26.500,21.100,16.000,,,
36.700,29.600,21.600,16.100,7.900,,,
40.000,34.800,29.700,20.000,,,,
36.400,32.100,27.900,18.200,,,,
48.300,32.400,22.100,21.000,16.700,,,
34.200,27.400,20.300,14.200,8.600,,,
46.800,35.300,23.400,20.900,16.900,,,
48.200,36.300,28.800,20.200,14.600,,,
40.000,34.800,29.700,20.000,,,,
43.800,33.800,25.100,17.100,11.800,,,
33.800,26.800,20.700,12.500,7.700,,,
33.300,27.700,22.600,15.500,13.300,,,
34.000,29.100,22.100,20.600,14.900,,,
,27.300,24.900,24.700,,,,
43.800,34.000,25.400,17.500,11.900,,,
33.100,26.400,19.900,13.000,7.700,,,
54.700,42.200,32.300,21.900,15.700,,,
37.100,28.900,21.000,17.600,11.100,,,
42.600,36.100,29.600,19.100,12.800,,,
,24.700,20.100,,10.200,,,
54.400,43.500,34.600,23.800,19.700,,,
54.400,41.700,31.800,21.700,14.800,,,
63.800,53.700,45.700,33.900,25.300,,,
31.800,25.600,19.800,,5.700,,,
40.000,32.100,24.200,12.400,9.200,,,
