"MarechalCândido Rondon",Roxa,Mecanizada,4.376,4.079,6.321,5.590,5.785,8.523,11.364,13.817,11.744
Mecanizável,3.760,-,-,-,-,-,-,,,,
Não Mecanizável,1.845,-,-,-,-,-,-,,,,
Inaproveitáveis,970,-,-,-,-,-,-,,,,
