"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Guairaçá,Arenosa,Mecanizada,3.400,4.800,5.785,6.060,6.360,7.500,8.500,10.210,13.520,22.728
,,Mecanizável,3.055,3.600,4.743,4.970,5.600,6.608,7.381,8.980,11.490,19.091
,,Não Mecanizável,1.835,2.880,2.940,3.080,3.528,4.163,4.652,5.490,7.330,10.454
,,Inaproveitáveis,1.428,2.490,2.234,3.341,2.646,3.122,3.489,4.100,4.273,6.636
,,,,,,,,,,,,
Guamiranga,Arenosa,Mecanizada,4.880,6.350,6.580,6.650,8.200,9.950,13.150,15.125,16.075,19.612
,,Mecanizável,2.600,3.380,3.750,3.850,5.200,6.150,8.870,9.495,12.520,15.658
,,Não Mecanizável,1.795,2.360,2.450,2.480,3.200,3.700,6.270,6.585,8.785,9.839
,,Inaproveitáveis,590,790,830,880,1.350,1.550,2.120,2.165,3.645,6.561
,,,,,,,,,,,,
Guapirama,Mista,Mecanizada,6.818,6.818,6.818,6.818,6.818,7.261,7.704,9.091,10.910,12.397
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,3.430,3.430,3.430,3.430,3.429,3.653,3.836,4.526,5.430,6.170
,,Inaproveitáveis,1.008,1.008,1.008,1.008,1.008,1.074,1.128,1.331,1.600,1.818
,,,,,,,,,,,,
Guaporema,Mista,Mecanizada,9.000,10.700,14.500,14.500,14.500,16.529,20.661,24.793,24.793,33.800
,Mecanizável,8.500,9.000,9.000,9.000,9.000,11.570,14.050,16.860,16.860,28.392,
,Não Mecanizável,,,,,,,7.851,9.421,9.421,15.548,
,Inaproveitáveis,,,,,,,,,3.720,9.844,
,,,,,,,,,,,,
Roxa,Mecanizada,8.000,9.000,11.000,10.330,10.330,12.397,16.529,16.860,20.661,31.085,
,Mecanizável,7.000,8.000,7.500,7.500,7.500,9.091,12.050,14.876,14.876,26.111,
,Não Mecanizável,,6.000,6.000,6.000,6.000,6.612,7.438,9.298,9.298,11.812,
,Inaproveitáveis,,,,,,,,,,,
,,,,,,,,,,,,
Mista,Mecanizada,6.200,7.400,8.200,8.246,9.000,10.331,14.876,18.595,18.595,27.290,
Mecanizável,6.000,6.400,6.000,6.000,6.000,7.438,12.050,14.504,14.504,22.923,,
Não Mecanizável,,5.000,5.000,5.000,5.000,6.198,6.992,8.740,8.740,12.553,,
Inaproveitáveis,,,,,,,,,,,,
,,,,,,,,,,,,
