"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Cruzeiro do Oeste,Roxa,Mecanizada,,,,,,,20.000,21.000,30.000,50.000
,,Mecanizável,,,,,,,,,,60.000
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,4.500,9.000
,,,,,,,,,,,,
,Mista,Mecanizada,6.200,7.000,7.450,8.000,9.500,11.570,15.000,18.600,20.000,20.800
,,Mecanizável,5.000,6.000,6.000,7.000,8.000,10.000,13.500,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
Cruzeiro do Sul,Arenosa,Mecanizada,5.785,5.785,6.198,6.198,7.025,7.727,8.429,11.900,16.400,33.058
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,4.100,5.950
,,,,,,,,,,,,
,Mista,Mecanizada,4.959,4.959,5.372,5.372,6.198,6.818,7.438,8.500,11.820,24.793
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
Cruzmaltina,Arenosa,Mecanizada,7.000,7.750,8.525,8.525,9.029,10.383,15.000,18.500,27.700,28.700
,,Mecanizável,4.880,5.370,5.907,5.907,6.256,7.194,9.761,9.950,22.300,23.100
,,Não Mecanizável,3.015,3.315,3.647,3.647,3.861,4.440,7.295,7.112,14.600,17.000
,,Inaproveitáveis,1.033,1.133,1.246,1.246,1.320,1.518,1.848,3.170,4.900,4.600
,,,,,,,,,,,,
,Roxa,Mecanizada,4.700,5.200,5.720,5.720,6.058,6.966,11.510,11.588,19.200,25.500
,,Mecanizável,3.300,3.500,3.850,3.850,4.078,4.689,7.300,7.470,15.500,21.400
,,Não Mecanizável,2.200,2.300,2.530,2.530,2.680,3.082,4.376,4.124,8.500,10.700
,,Inaproveitáveis,1.100,1.200,1.320,1.320,1.398,1.607,1.848,2.677,4.100,4.400
,,,,,,,,,,,,
Curitiba,Mista,Mecanizada,11.364,12.397,14.876,18.182,19.339,21.281,23.207,29.008,37.190,41.653
Mecanizável,11.364,11.570,11.901,14.174,15.471,17.335,19.029,23.207,29.752,33.322,,
Não Mecanizável,4.339,4.504,5.405,6.446,6.756,7.562,9.132,9.863,12.645,14.162,,
Inaproveitáveis,1.901,1.995,2.380,2.851,2.975,3.285,5.455,6.382,8.182,9.164,,
,,,,,,,,,,,,
