Unnamed: 0,Unnamed: 1,Mecanizada,7.000,9.000,9.000.1,9.300,9.300.1,10.200,22.700,23.835,25.835,28.400
,,Mecanizável,5.000,6.500,6.500,6.500,6.500,7.200,17.360,18.300,19.489,21.500
,Mista,,,,,,,,,,,
,,Não Mecanizável,1.850,2.400,2.400,2.400,2.400,2.600,4.960,5.200,5.540,6.100
,,Inaproveitáveis,650,750,750,750,750,820,900,950,1.010,1.100
Porto Amazonas,,,,,,,,,,,,
,,Mecanizada,6.300,8.200,8.200,8.500,8.500,9.400,11.940,23.000,24.500,27.000
,,Mecanizável,4.700,6.100,6.100,6.100,6.100,6.700,7.370,17.354,18.482,20.300
,Arenosa,,,,,,,,,,,
,,Não Mecanizável,1.700,2.200,2.200,2.200,2.200,2.300,2.500,5.040,5.540,6.100
,,Inaproveitáveis,500,650,650,650,650,650,859,950,1.010,1.400
