Unnamed: 0,Unnamed: 1,Mecanizada,1.800,1.791,2.042,2.300,2.850,7.355,7.180,7.781,7.900
,,Mecanizável,-,-,-,-,-,-,-,,
,Roxa,,,,,,,,,,
,,Não Mecanizável,800,775,912,1.050,1.300,3.383,3.015,3.890,4.345
,,Inaproveitáveis,150,80,137,200,280,736,710,770,790
São Jerônimo da,,,,,,,,,,,
Serra,,,,,,,,,,,
,,Mecanizada,1.000,1.095,1.150,1.600,2.000,6.200,5.385,5.830,6.000
,,Mecanizável,-,-,-,-,-,-,-,,
,Mista,,,,,,,,,,
,,Não Mecanizável,500,488,715,800,950,2.940,2.432,2.950,2.700
,,Inaproveitáveis,200,50,86,160,200,620,538,580,600
