Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
48.000,37.900,28.000,19.400,13.400,,,
,27.400,22.200,22.000,,,,
54.800,43.700,34.500,23.900,19.700,,,
,17.500,14.200,,4.900,,,
42.700,32.900,24.500,16.800,11.700,,,
54.300,41.100,29.400,21.500,16.800,,,
61.200,47.300,35.600,21.900,15.700,,,
,27.400,22.200,22.000,,,,
40.100,32.000,24.400,16.000,13.800,,,
51.400,37.800,31.300,25.600,20.400,,,
43.700,30.500,23.600,18.200,12.300,,,
42.300,35.400,27.500,19.800,9.800,,,
49.700,37.400,28.200,19.600,15.400,,,
38.800,30.600,22.000,13.400,9.300,,,
,23.100,18.400,,10.200,,,
45.200,35.300,26.000,17.600,11.900,,,
46.000,36.800,30.200,22.100,17.900,,,
63.700,53.500,44.700,33.700,24.800,,,
44.300,37.700,29.300,18.000,15.400,,,
40.200,34.800,29.300,20.100,,,,
61.800,46.800,35.100,21.900,15.700,,,
62.800,47.000,34.200,23.200,18.400,,,
43.000,30.600,19.100,11.000,8.400,,,
54.200,39.000,24.900,24.700,,,,
43.100,33.700,25.200,17.400,11.800,,,
,24.500,18.200,7.900,5.400,,,
38.100,29.300,20.700,,11.300,,,
56.000,40.100,27.400,22.100,16.500,,,
42.100,30.200,19.500,11.400,8.400,,,
,25.600,18.800,,11.300,,,
56.100,46.500,34.700,21.600,15.700,,,
,27.700,21.800,21.100,15.100,,,
36.000,28.500,21.400,13.000,9.100,,,
,25.200,20.000,,8.600,,,
35.100,29.100,22.200,21.200,15.300,,,
36.800,34.000,27.900,15.300,13.000,,,
39.000,33.400,29.100,16.400,14.100,,,
49.800,35.500,20.200,11.700,8.600,,,
,21.800,13.600,9.600,3.900,,,
39.200,31.600,25.500,18.700,8.400,,,
40.900,34.200,27.900,13.300,8.600,,,
,23.100,18.400,,10.200,,,
58.200,43.000,30.000,21.600,18.200,,,
54.400,46.300,36.000,22.000,18.900,,,
,27.400,22.200,22.000,,,,
51.600,41.600,34.500,21.000,18.500,,,
57.700,40.500,27.500,21.200,17.400,,,
,25.900,19.100,,9.500,,,
42.000,33.200,24.700,15.100,10.500,,,
