A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
93.500,73.100,59.800,38.900,19.600,9.600,
119.300,95.700,75.900,41.600,31.400,12.200,
110.300,88.800,69.400,50.600,35.500,15.200,
,44.800,32.000,16.200,8.000,4.200,
138.100,110.600,88.200,53.800,37.000,14.100,
84.400,56.900,50.900,44.900,34.800,15.700,
,55.400,50.300,37.500,34.900,16.600,
100.700,78.600,58.700,43.100,30.400,15.400,
,52.000,42.500,30.900,24.400,11.200,
117.800,93.800,72.500,44.100,29.500,15.400,
,53.400,43.400,32.900,23.600,9.000,
86.700,66.800,48.600,35.600,24.500,7.900,
144.500,119.400,93.500,58.100,40.000,17.200,
,56.900,50.900,44.900,34.800,15.700,
133.600,104.300,85.200,57.700,41.600,17.200,
,32.600,24.300,16.000,8.100,5.100,
129.100,103.400,81.300,50.800,35.100,13.200,
132.400,107.300,84.400,61.400,43.100,18.600,
129.800,96.700,74.100,44.200,31.300,16.900,
,56.900,50.900,44.900,34.800,15.700,
112.100,76.300,54.000,37.700,26.300,8.500,
119.400,96.500,75.900,55.200,38.800,16.700,
99.900,78.400,58.400,43.100,30.500,15.200,
70.300,49.800,38.400,24.700,11.800,6.900,
118.600,95.900,75.400,54.900,38.600,16.600,
65.500,52.600,43.000,24.300,15.500,7.100,
,50.300,40.700,31.000,23.700,10.700,
136.700,110.600,87.300,54.400,37.200,15.100,
112.500,86.700,70.700,57.100,45.200,18.700,
138.800,112.100,95.100,69.800,49.600,18.500,
88.000,70.400,52.600,34.900,28.900,14.100,
102.600,77.300,63.200,46.100,,11.000,
129.800,96.700,73.100,44.300,31.300,16.900,
161.700,126.300,95.000,72.000,43.700,23.700,
87.200,60.100,35.700,21.800,15.200,6.600,
122.900,74.000,59.400,49.100,39.100,15.700,
138.100,111.800,87.000,56.200,37.600,17.700,
,38.900,29.400,14.500,10.100,4.300,
95.900,75.200,55.200,40.900,27.400,13.800,
125.500,100.700,79.400,58.000,40.900,17.500,
85.300,59.100,36.400,22.700,15.200,6.600,
95.900,73.800,54.900,40.700,27.400,13.700,
127.500,100.200,72.400,43.500,31.200,16.700,
