Itaguajé,Roxa,Mecanizada,2.600,2.400,2.800,3.400,5.200,9.000,12.000,9.600,8.400
,Mecanizável,-,-,-,-,-,-,-,,,
,Não Mecanizável,1.000,1.000,1.200,1.450,2.100,2.400,4.200,3.400,2.950,
,Inaproveitáveis,-,-,850,1.050,520,900,1.200,960,840,
,,,,,,,,,,,
Mista,Mecanizada,2.000,2.000,2.000,2.600,4.400,6.500,10.500,7.900,7.000,
,Mecanizável,-,-,-,-,-,-,-,,,
,Não Mecanizável,1.100,1.100,1.100,1.400,2.100,2.500,3.600,2.800,2.500,
,Inaproveitáveis,-,-,800,1.000,420,650,1.060,790,700,
,,,,,,,,,,,
Arenosa,Mecanizada,1.700,1.600,1.600,2.000,3.400,5.000,8.000,6.000,6.000,
Mecanizável,-,-,-,-,-,-,-,,,,
Não Mecanizável,1.000,1.000,1.000,1.200,1.700,2.000,3.600,2.700,2.275,,
Inaproveitáveis,-,-,700,90,340,500,800,600,600,,
