Unnamed: 0,Unnamed: 1,Mecanizada,7.400,8.900,8.950,9.100,9.490,9.800,11.000,18.500,20.600,22.450
,,Mecanizável,4.900,6.100,6.150,6.300,6.600,6.850,8.435,14.800,15.450,16.300
,Mista,,,,,,,,,,,
,,Não Mecanizável,2.150,2.580,2.610,2.710,2.840,2.990,3.876,5.920,6.000,6.350
,,Inaproveitáveis,800,920,940,1.000,1.050,1.200,1.320,1.184,1.200,1.300
Ivaí,,,,,,,,,,,,
,,Mecanizada,6.400,7.300,7.470,7.550,7.920,8.280,9.200,17.750,19.800,21.600
,,Mecanizável,4.700,5.300,5.430,5.550,5.810,6.100,8.270,14.500,14.800,15.600
,Arenosa,,,,,,,,,,,
,,Não Mecanizável,1.900,2.150,2.280,2.300,2.410,2.700,3.876,5.800,6.000,6.350
,,Inaproveitáveis,500,560,610,650,670,700,1.166,1.160,1.200,1.300
