A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,67.500,56.000,44.400,34.800,11.500,
93.900,71.800,52.600,29.400,17.700,9.900,
,70.600,54.300,40.200,28.700,14.400,
,72.000,62.900,52.400,40.200,14.200,
78.800,61.900,51.500,47.300,39.600,13.800,
102.300,87.800,73.800,34.200,25.200,7.300,
97.400,67.000,37.100,25.200,16.800,7.100,
,46.300,36.700,25.400,16.100,4.800,
,61.900,48.800,37.500,23.900,4.800,
114.600,96.000,77.600,39.700,26.400,11.700,
,69.100,54.000,42.300,32.400,14.100,
120.500,95.000,72.100,52.300,32.100,17.500,
115.000,94.200,78.900,62.700,45.900,18.600,
,51.100,44.200,40.900,35.200,15.700,
120.500,93.300,76.100,53.400,38.200,17.300,
124.100,96.900,72.700,53.800,32.700,17.600,
,78.900,57.100,36.200,23.500,8.500,
102.300,78.200,59.600,30.300,15.600,10.600,
95.100,69.100,45.100,25.400,15.400,8.900,
,60.400,50.100,39.400,30.900,10.500,
,67.100,58.000,47.400,36.900,14.200,
106.900,80.100,58.200,36.800,24.000,9.200,
83.200,61.500,49.400,45.300,35.200,15.700,
126.800,93.900,72.300,45.500,31.700,17.000,
103.300,74.500,56.200,26.700,15.900,9.500,
105.400,85.400,66.900,48.600,34.200,14.600,
78.100,64.600,54.700,45.200,,11.000,
128.700,101.600,77.500,56.600,,19.000,
104.800,77.900,63.900,50.600,37.600,13.200,
123.100,95.000,78.900,54.200,38.800,16.800,
132.400,106.300,87.000,47.400,36.000,12.900,
,40.900,31.100,21.200,13.100,5.500,
,72.300,59.900,47.500,37.200,12.300,
106.100,79.300,57.300,35.900,23.200,8.400,
109.600,85.500,75.100,49.500,42.000,19.000,
,51.100,44.200,40.900,35.200,15.700,
139.500,111.600,94.200,69.300,49.400,18.600,
,69.100,52.600,39.900,32.500,15.700,
104.800,80.900,63.800,45.400,34.800,17.300,
109.100,87.900,73.100,59.600,43.600,17.500,
106.100,79.300,57.300,35.900,23.200,8.400,
118.000,92.300,73.400,49.300,39.300,16.800,
112.400,90.600,71.600,52.700,37.300,15.800,
