"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Uraí,Roxa,Mecanizada,10.124,11.280,11.570,12.025,13.223,14.256,15.909,17.769,25.619,28.182
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,6.080,6.322,6.322,6.529,7.025,7.348,8.264,9.091,11.776,13.182,
,Inaproveitáveis,1.012,1.045,1.045,1.064,1.116,1.172,1.322,1.455,1.766,2.107,
,,,,,,,,,,,,
Ventania,Mista,Mecanizada,8.000,9.600,9.700,9.800,9.980,10.100,11.000,18.500,20.600,22.450
,Mecanizável,4.500,5.400,5.480,5.500,5.680,5.900,8.492,14.800,15.450,14.000,
,Não Mecanizável,2.650,3.180,3.260,3.300,3.490,3.750,4.923,5.920,6.700,7.100,
,Inaproveitáveis,650,780,810,850,880,1.000,2.000,1.184,1.340,1.400,
,,,,,,,,,,,,
,Arenosa,Mecanizada,7.500,8.620,8.690,8.690,9.000,9.500,9.900,17.750,19.800,21.600
,Mecanizável,4.200,4.830,4.910,4.910,5.050,5.400,8.325,14.500,14.800,13.300,
,Não Mecanizável,2.200,2.530,2.510,2.510,2.610,2.790,4.923,5.800,6.700,7.100,
,Inaproveitáveis,580,660,690,690,710,740,2.000,1.160,1.340,1.400,
,,,,,,,,,,,,
"Vera Cruz doOeste",Roxa,Mecanizada,14.000,23.099,28.090,26.104,27.000,27.000,35.000,35.000,35.000,41.726
,Mecanizável,10.506,15.494,22.472,18.000,20.000,18.500,25.000,25.000,25.000,29.760,
,Não Mecanizável,5.253,7.749,11.157,10.150,10.300,9.500,17.500,17.500,12.400,14.756,
,Inaproveitáveis,3.151,6.219,11.157,10.150,6.200,6.200,6.200,8.500,6.610,7.874,
,,,,,,,,,,,,
Verê,Mista,Mecanizada,11.000,15.200,17.520,17.600,18.500,25.000,30.000,36.000,41.000,45.000
,Mecanizável,,,,,,,24.000,28.800,30.000,33.000,
,Não Mecanizável,5.000,5.800,6.400,6.400,7.000,9.500,10.000,12.400,13.000,15.000,
,Inaproveitáveis,1.000,1.140,1.200,1.200,1.300,1.800,1.800,2.200,2.200,2.800,
,,,,,,,,,,,,
Virmond,Mista,Mecanizada,8.200,10.000,12.420,11.300,13.550,15.000,16.800,21.700,26.100,33.700
,Mecanizável,5.300,6.500,8.700,6.500,7.300,8.200,9.200,12.200,15.600,24.600,
,Não Mecanizável,4.150,4.400,4.400,2.900,3.150,3.550,4.000,5.400,6.500,13.500,
,Inaproveitáveis,2.950,1.800,1.800,1.050,1.200,1.300,1.500,2.300,2.500,5.000,
,,,,,,,,,,,,
Vitorino,Mista,Mecanizada,9.500,15.000,17.500,17.000,18.000,19.500,30.200,31.500,32.000,37.500
Mecanizável,6.500,10.500,13.000,,14.000,,,,,,,
Não Mecanizável,4.200,6.500,8.000,7.500,7.800,8.500,13.000,13.500,13.500,14.500,,
Inaproveitáveis,720,1.200,1.800,1.800,1.900,2.200,2.500,2.600,2.600,2.800,,
,,,,,,,,,,,,
