A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
97.900,72.800,59.200,40.000,25.400,11.900,
125.100,100.400,79.700,43.400,32.900,12.700,
111.800,90.300,70.700,51.400,36.100,15.400,
,56.600,39.500,21.200,12.400,5.500,
141.400,114.500,90.400,54.900,37.900,14.400,
84.200,54.800,49.600,45.400,35.300,15.800,
,63.400,52.600,41.200,32.100,10.300,
104.900,84.400,74.600,49.500,41.200,17.800,
,67.600,51.300,35.100,25.800,13.000,
122.400,97.600,75.700,43.800,29.400,15.200,
,72.500,60.100,47.600,37.400,12.000,
104.400,88.000,67.000,40.000,27.300,9.500,
143.600,118.700,94.300,57.600,39.700,17.100,
,57.400,49.600,45.400,35.300,15.800,
138.900,107.500,90.700,59.900,43.300,18.000,
,39.400,29.200,19.700,11.800,5.400,
132.300,106.000,83.500,51.900,36.000,13.500,
132.700,107.700,84.900,61.800,43.500,18.600,
137.700,101.900,78.800,46.600,32.500,17.800,
,54.800,49.600,45.400,35.300,15.800,
120.500,102.500,84.300,41.200,30.200,9.000,
119.500,96.800,76.300,55.600,39.200,16.700,
106.600,83.900,74.100,49.700,41.200,17.600,
78.700,54.800,42.500,29.200,16.400,7.200,
120.500,97.600,76.900,56.100,39.500,16.900,
77.900,60.200,46.500,22.600,14.200,7.100,
,64.200,51.600,38.700,29.500,13.200,
138.600,112.200,88.600,55.000,37.700,15.300,
119.500,91.300,74.400,59.400,46.600,19.300,
147.000,117.400,99.100,72.800,51.900,19.500,
102.300,81.400,70.400,53.800,39.300,16.300,
108.900,80.600,66.000,48.700,,12.000,
137.900,101.900,76.900,46.600,32.500,17.800,
168.400,131.500,99.100,71.700,43.800,23.500,
90.300,62.300,37.200,22.700,15.800,6.800,
118.800,70.400,60.000,49.700,39.600,15.800,
141.200,115.500,91.500,57.200,38.400,18.000,
,43.600,30.000,21.600,13.500,5.500,
101.800,80.100,69.000,43.400,39.000,15.900,
125.800,101.500,80.100,58.600,41.400,17.600,
88.300,61.100,37.900,23.600,15.900,6.800,
101.100,79.800,68.900,43.800,39.000,16.000,
135.100,106.300,76.200,45.400,32.400,17.700,
