A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,69.100,52.600,39.900,32.500,15.700,
109.800,81.900,67.700,53.500,39.800,15.300,
105.600,85.500,74.100,48.600,41.500,18.300,
,60.400,50.100,39.400,30.900,10.500,
114.500,81.600,68.000,54.900,42.400,14.700,
126.800,93.900,72.300,45.500,31.700,17.000,
,69.500,53.700,39.500,28.700,14.400,
,70.600,54.300,40.200,28.700,14.400,
122.100,99.200,78.200,57.100,40.200,17.200,
113.500,85.200,71.000,56.700,42.500,15.300,
118.000,92.300,73.400,49.300,39.300,16.800,
81.400,58.900,44.100,30.200,17.800,7.900,
85.200,66.700,42.300,32.800,23.200,9.900,
104.900,90.400,76.200,38.300,28.400,8.200,
107.400,78.700,64.600,52.200,39.800,13.200,
107.800,82.700,74.000,48.500,41.500,18.500,
122.000,95.300,71.500,52.900,32.200,17.300,
,67.500,47.800,44.200,36.400,11.900,
103.200,76.800,62.800,46.400,,11.500,
115.000,94.200,78.900,62.700,45.900,18.600,
123.600,100.400,78.900,57.500,40.400,17.300,
107.800,82.700,74.000,48.500,41.500,18.500,
78.800,61.900,51.500,47.300,39.600,13.800,
85.200,61.400,52.500,23.200,14.500,9.000,
124.200,101.000,79.600,58.100,40.900,17.500,
120.500,93.300,76.100,53.400,38.200,17.300,
123.100,95.000,78.900,54.200,38.800,16.800,
72.600,54.100,41.600,28.100,15.800,7.000,
124.100,97.300,77.300,47.200,31.200,12.600,
132.000,103.200,81.400,41.900,30.500,12.900,
99.700,80.200,52.400,41.500,30.900,10.400,
126.800,94.700,72.300,41.900,31.700,17.000,
,51.100,44.200,40.900,35.200,15.700,
131.800,102.200,86.200,57.100,41.300,17.100,
143.600,107.700,84.800,53.300,39.300,20.300,
,64.900,54.500,43.200,33.900,11.200,
103.100,74.500,52.800,45.300,39.500,15.700,
143.000,114.200,96.400,71.000,50.700,19.200,
135.300,115.000,92.800,48.700,35.700,16.100,
131.900,99.800,78.300,49.100,34.300,17.000,
125.500,101.100,79.800,48.800,32.900,13.300,
89.800,71.600,53.800,38.400,28.200,7.300,
118.000,92.300,73.400,49.300,39.300,16.800,
