Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
49.000,38.700,29.000,19.800,13.600,,,
,29.400,25.100,22.000,17.900,,,
55.900,44.500,35.200,24.400,20.000,,,
,17.500,14.200,,5.000,,,
44.200,34.500,25.700,17.400,12.100,,,
57.300,41.100,29.500,21.400,16.800,,,
61.300,47.300,34.800,21.900,15.700,,,
,29.400,25.100,22.000,17.900,,,
40.500,32.100,24.400,15.800,13.500,,,
48.900,36.800,31.400,24.900,20.400,,,
51.300,38.300,28.100,18.600,14.000,,,
48.000,35.500,27.600,19.800,9.800,,,
52.000,37.400,28.200,19.600,15.400,,,
39.100,32.500,27.700,14.800,10.300,,,
,25.100,20.700,,11.200,,,
47.300,37.000,27.100,18.000,11.900,,,
46.600,37.200,30.500,22.300,18.100,,,
65.100,54.600,45.800,34.500,25.300,,,
44.300,37.700,29.300,18.000,15.400,,,
40.600,35.200,29.800,20.300,,,,
61.800,46.800,34.300,21.900,15.700,,,
62.800,47.100,34.200,23.200,18.400,,,
42.600,30.500,19.000,10.900,8.300,,,
56.900,43.800,34.100,27.400,17.900,,,
45.200,35.800,26.800,18.200,12.400,,,
,25.000,18.800,8.400,6.500,,,
48.500,37.100,25.100,,12.900,,,
54.000,38.400,27.600,22.100,16.500,,,
41.600,29.900,19.300,11.400,8.300,,,
44.500,33.500,23.300,,13.000,,,
56.100,46.600,34.000,21.700,15.700,,,
,28.700,22.700,21.800,15.700,,,
37.100,31.100,23.100,15.000,9.800,,,
,27.000,20.500,,9.300,,,
36.100,30.200,23.000,21.900,15.900,,,
36.800,34.100,28.100,15.300,13.000,,,
40.200,33.800,28.600,16.600,14.100,,,
49.600,35.500,20.100,11.700,8.600,,,
26.000,21.800,13.600,9.600,3.800,,,
39.000,31.600,25.700,18.700,8.400,,,
41.000,34.300,28.000,13.700,8.700,,,
,25.100,20.700,,11.200,,,
58.300,43.100,30.000,21.600,18.200,,,
54.400,46.300,36.000,22.000,18.900,,,
,30.300,26.000,22.000,17.900,,,
52.400,42.200,35.000,21.300,18.800,,,
57.800,40.600,27.500,21.200,17.400,,,
,29.100,21.100,,10.600,,,
42.700,33.800,25.300,15.400,10.500,,,
