Goioerê,Mista,Mecanizada,3.720,3.400,3.910,4.223,6.123,10.431,13.579,11.157,9.504
,Mecanizável,2.700,2.400,2.760,2.980,4.470,7.628,9.505,6.199,7.851,
,Não Mecanizável,2.350,1.500,1.650,1.782,2.851,4.865,4.753,4.165,5.579,
,Inaproveitáveis,1.400,500,250,270,551,990,951,116,950,
,,,,,,,,,,,
Roxa,Mecanizada,2.310,2.070,2.100,2.268,3.856,6.555,9.759,8.132,6.921,
Mecanizável,1.950,1.500,1.500,1.620,2.754,4.682,6.945,4.959,5.744,,
Não Mecanizável,1.600,1.050,1.100,1.188,2.020,3.434,3.820,3.422,4.132,,
Inaproveitáveis,1.280,500,190,206,347,590,794,813,692,,
