Mandaguaçu,Roxa,Mecanizada,2.800,2.800.1,3.700,4.450,6.500,10.500,13.000,11.200,9.000
,Mecanizável,-,-,-,-,-,-,-,,,
,Não Mecanizável,1.000,1.100,1.500,1.800,2.600,2.900,4.600,4.000,3.150,
,Inaproveitáveis,-,-,1.050,1.300,650,1.100,1.300,1.120,900,
,,,,,,,,,,,
Mista,Mecanizada,2.200,2.300,2.600,3.200,6.000,10.000,11.600,9.800,8.000,
,Mecanizável,-,-,-,-,-,-,-,,,
,Não Mecanizável,1.200,1.200,1.300,1.600,2.600,3.000,4.400,3.450,2.800,
,Inaproveitáveis,-,-,900,1.100,520,1.000,1.160,980,800,
,,,,,,,,,,,
Arenosa,Mecanizada,1.900,1.950,2.000,2.400,4.200,6.500,9.500,8.000,7.000,
Mecanizável,-,-,-,-,-,-,-,,,,
Não Mecanizável,1.000,1.000,1.100,1.200,2.100,2.400,4.400,3.600,2.625,,
Inaproveitáveis,-,-,800,1.000,420,650,950,800,700,,
