Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
40.700,33.000,24.000,12.700,7.300,,,
38.600,32.200,24.900,22.800,17.000,,,
38.900,32.800,26.000,23.500,17.900,,,
52.900,40.900,29.900,19.800,14.200,,,
56.100,40.300,29.800,24.800,19.800,,,
64.200,47.900,36.000,22.100,15.700,,,
42.200,36.100,28.700,16.300,9.100,,,
46.500,35.000,26.300,,16.400,,,
38.600,33.300,28.400,19.400,,,,
76.500,57.600,40.800,26.500,,,,
44.000,35.700,27.700,18.700,11.800,,,
51.000,40.400,31.800,21.700,18.800,,,
58.000,48.200,39.100,20.900,15.300,,,
,23.600,18.000,,6.500,,,
38.400,31.500,24.700,23.600,17.000,,,
49.400,39.400,29.500,19.300,13.600,,,
50.500,38.700,26.800,19.600,17.100,,,
,31.100,26.500,24.800,19.800,,,
65.400,54.600,46.000,34.400,25.300,,,
,29.900,21.900,,12.500,,,
39.900,30.000,23.900,12.800,10.700,,,
43.700,36.900,28.800,16.100,13.600,,,
53.500,41.900,30.100,19.300,13.800,,,
46.700,38.900,31.500,21.300,14.100,,,
58.600,51.100,45.800,30.800,23.000,,,
,29.900,21.900,,12.500,,,
47.800,38.000,31.100,22.800,18.300,,,
49.100,37.900,26.500,19.500,16.000,,,
38.600,32.200,24.900,22.800,17.000,,,
43.300,34.600,27.000,18.400,11.300,,,
64.200,47.900,36.000,22.100,15.700,,,
,29.200,22.900,,10.100,,,
,30.000,22.700,,10.400,,,
63.500,45.900,34.700,26.700,19.700,,,
55.100,46.200,37.400,29.700,21.300,,,
46.700,38.900,31.500,21.300,14.100,,,
42.800,33.500,25.200,17.400,8.900,,,
50.000,39.300,24.300,21.900,16.500,,,
45.900,34.800,28.200,18.900,13.400,,,
44.100,35.800,27.600,18.200,11.500,,,
48.600,38.800,28.700,19.500,16.000,,,
67.600,50.200,35.000,23.000,16.800,,,
36.500,31.400,24.300,22.700,16.600,,,
41.900,35.800,30.300,21.100,,,,
53.300,44.900,35.000,21.600,18.300,,,
66.700,52.400,41.700,34.100,23.700,,,
48.600,38.800,28.700,19.500,16.000,,,
37.800,34.400,28.200,15.800,13.300,,,
36.300,29.100,22.600,14.300,9.500,,,
