Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
34.600,28.400,21.800,14.300,8.300,,,
,17.900,14.500,11.200,5.700,,,
35.500,28.400,21.300,14.900,7.400,,,
,29.800,23.500,,8.400,,,
39.200,30.700,24.900,19.900,15.900,,,
,27.400,22.200,22.000,,,,
34.300,29.300,22.500,20.800,15.600,,,
54.200,34.500,24.900,24.700,,,,
,30.000,22.200,22.000,,,,
50.600,43.100,33.600,20.500,17.600,,,
34.700,29.000,22.200,21.100,15.200,,,
44.400,34.700,25.500,17.300,11.500,,,
60.900,44.300,31.800,22.400,17.100,,,
37.800,31.000,23.800,15.400,9.300,,,
51.600,41.600,34.500,21.000,18.500,,,
35.200,26.200,19.000,13.200,7.000,,,
29.300,24.700,17.800,8.300,5.200,,,
46.500,39.300,32.100,20.800,14.300,,,
56.500,45.900,37.100,25.300,17.000,,,
36.400,31.100,22.900,15.500,11.000,,,
39.900,31.400,23.100,,11.500,,,
45.100,33.700,28.900,23.000,17.700,,,
48.700,38.800,30.000,21.400,10.600,,,
,28.800,21.900,,10.600,,,
37.300,28.200,21.700,13.300,8.000,,,
61.900,48.500,36.900,23.800,16.600,,,
51.600,41.600,34.500,21.000,18.500,,,
40.200,34.800,29.300,20.100,,,,
48.000,38.200,30.300,21.000,10.400,,,
37.100,29.800,23.000,14.500,8.900,,,
45.100,34.000,25.200,,16.100,,,
36.600,30.800,25.200,14.400,11.900,,,
39.000,29.700,22.100,15.200,10.000,,,
42.100,32.600,24.100,16.500,11.100,,,
52.400,44.600,34.700,21.300,18.300,,,
,23.600,18.200,7.900,5.600,,,
56.300,42.300,31.900,24.600,18.000,,,
46.200,35.800,26.500,18.000,12.400,,,
38.900,31.800,23.600,17.700,14.700,,,
56.100,42.200,28.800,21.200,15.900,,,
,27.100,21.300,,7.600,,,
39.000,29.700,22.100,15.200,10.000,,,
44.200,37.300,30.800,19.800,13.300,,,
51.200,43.400,33.500,19.400,12.600,,,
41.300,31.000,21.200,19.100,11.400,,,
58.600,41.600,28.700,22.500,17.800,,,
54.200,39.000,29.400,29.200,,,,
36.800,34.000,27.900,15.300,13.000,,,
61.400,44.800,34.600,23.100,18.400,,,
