Unnamed: 0,Unnamed: 1,Mecanizada,12.190,18.595,22.934,24.500,25.620,27.900,27.900.1,35.123,38.700,43.000
,,Mecanizável,9.246,15.702,16.935,17.800,18.388,22.233,22.233,25.600,27.400,31.000
,Roxa,,,,,,,,,,,
,,Não Mecanizável,6.508,7.025,9.200,9.750,10.124,14.000,14.000,15.700,16.650,19.340
,,Inaproveitáveis,1.116,1.600,1.627,1.650,1.931,3.000,3.000,4.500,4.850,5.640
Mamborê,,,,,,,,,,,,
,,Mecanizada,9.711,16.464,16.500,17.000,18.926,21.600,23.500,27.730,35.100,41.630
,,Mecanizável,7.645,12.936,13.503,13.300,14.545,18.366,19.650,23.180,25.960,29.500
,Mista,,,,,,,,,,,
,,Não Mecanizável,5.124,9.000,9.070,8.524,9.504,12.333,12.333,14.430,15.550,17.450
,,Inaproveitáveis,909,1.480,1.500,1.414,2.121,3.000,3.000,3.800,4.060,4.650
