Unnamed: 0,Unnamed: 1,Mecanizada,10.692,20.661,24.544,23.562,25.500,29.420,30.891,42.768,48.500,58.000
,,Mecanizável,7.386,16.528,16.924,16.416,18.000,25.007,26.257,36.352,38.800,49.300
,Roxa,,,,,,,,,,,
,,Não Mecanizável,4.752,8.264,8.200,8.692,9.500,12.100,12.100,14.500,16.524,20.000
,,Inaproveitáveis,1.178,1.351,1.380,1.331,1.380,3.500,4.000,4.000,4.500,4.800
Boa Esperança,,,,,,,,,,,,
,,Mecanizada,8.006,17.641,18.042,17.193,18.210,22.500,22.500,36.352,39.987,46.400
,,Mecanizável,5.992,14.837,15.000,14.250,15.150,19.325,19.325,30.899,31.990,39.400
,Mista,,,,,,,,,,,
,,Não Mecanizável,3.771,6.198,7.000,6.790,7.300,11.500,11.500,12.000,13.000,14.000
,,Inaproveitáveis,909,1.101,1.251,1.100,1.280,3.000,3.000,3.500,4.000,4.000
