Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
42.600,36.100,29.600,19.100,12.800,,,
35.600,30.200,24.000,13.700,11.600,,,
55.400,48.000,38.600,22.200,19.300,,,
43.500,36.900,30.300,19.500,13.100,,,
56.300,41.900,31.500,24.700,17.800,,,
40.000,28.700,19.100,11.200,8.200,,,
28.000,21.400,16.100,8.500,7.300,,,
43.300,32.500,23.400,19.000,16.200,,,
33.800,27.000,20.200,13.400,7.800,,,
40.400,33.400,26.700,15.600,9.600,,,
37.300,31.400,28.900,,10.900,,,
60.200,53.200,47.900,31.500,23.100,,,
37.100,28.700,18.600,15.700,10.300,,,
44.800,33.100,20.700,12.000,9.000,,,
40.900,29.100,19.200,11.300,8.700,,,
41.100,32.600,24.300,16.500,11.300,,,
44.600,32.200,23.400,19.100,15.900,,,
37.000,30.900,24.900,16.900,11.900,,,
,25.000,20.000,,13.100,,,
44.800,33.700,23.600,20.700,16.300,,,
37.000,30.700,24.800,16.900,11.200,,,
45.700,35.000,25.000,19.800,15.900,,,
36.400,33.900,28.100,15.000,12.900,,,
,18.800,15.100,,5.800,,,
46.600,35.000,25.800,20.600,16.700,,,
38.000,30.800,27.100,13.700,10.500,,,
42.000,31.900,25.800,22.000,16.900,,,
,27.400,24.900,24.700,,,,
43.400,35.500,31.200,12.700,8.500,,,
46.400,41.000,30.800,14.400,12.000,,,
36.400,32.100,27.900,18.200,,,,
,22.700,19.100,,12.100,,,
,24.700,19.700,,10.700,,,
37.200,30.800,23.100,11.800,10.300,,,
46.800,35.300,26.100,20.900,16.900,,,
34.200,27.800,21.100,13.600,8.300,,,
29.500,22.800,19.000,,5.200,,,
38.900,31.800,25.300,13.700,10.300,,,
42.700,32.100,24.100,,14.900,,,
,23.400,17.700,7.900,5.500,,,
45.200,35.100,25.900,17.600,12.200,,,
44.800,30.000,21.300,21.200,,,,
46.900,35.000,25.400,21.000,16.800,,,
36.300,26.800,20.700,18.200,11.300,,,
43.500,32.600,24.500,14.400,12.000,,,
,22.800,18.200,,10.200,,,
45.200,33.800,23.900,19.100,14.400,,,
33.900,28.200,21.800,20.800,15.500,,,
30.900,25.600,19.100,15.100,12.900,,,
46.500,37.100,27.300,19.000,13.100,,,
