Unnamed: 0,Unnamed: 1,Mecanizada,12.000,16.528,14.000,12.300,20.600,25.000,33.000,40.000,45.000,50.000
,,Mecanizável,10.500,14.400,12.000,11.000,19.160,,,,,
,Mista,,,,,,,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,6.750,10.000
,,Mecanizada,8.000,12.396,12.000,10.330,16.500,20.000,24.000,30.000,33.000,40.000
,,Mecanizável,7.000,10.330,10.500,9.000,15.000,,,,,
Francisco Alves,Roxa,,,,,,,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,Mecanizada,6.200,8.260,9.000,8.260,10.330,12.400,20.000,25.000,29.000,33.000
,,Mecanizável,5.000,6.600,7.500,7.000,8.830,11.000,18.000,,,
,Mista,,,,,,,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
