"São José dasPalmeiras",Roxa,Mecanizada,2.560,1.700,2.678,2.368,3.700,5.464,8.435,10.020,9.018
Mecanizável,2.268,-,-,-,-,-,-,,,,
Não Mecanizável,950,-,-,-,-,-,-,,,,
Inaproveitáveis,760,-,-,-,-,-,-,,,,
