São Tomé,Roxa,Mecanizada,3.500,3.700,3.100,4.800,6.600,12.000,13.500,13.200,9.500
,Mecanizável,2.500,2.500,2.480,3.000,6.100,11.200,12.500,11.600,8.500,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,1.300,1.500,-,-,-,-,-,,,
,,,,,,,,,,,
Mista,Mecanizada,2.300,2.500,2.480,3.200,5.700,8.000,12.000,10.300,8.000,
,Mecanizável,1.700,1.700,1.900,2.500,5.300,7.000,11.000,9.100,7.000,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,1.250,1.300,-,-,-,-,-,,,
,,,,,,,,,,,
Arenosa,Mecanizada,1.700,1.700,1.860,2.800,4.500,6.200,10.000,8.300,6.500,
Mecanizável,1.450,1.450,1.450,2.000,4.000,6.000,9.000,7.400,5.200,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,1.100,1.100,-,-,-,-,-,,,,
