A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
128.300,103.000,79.600,49.500,34.000,13.000,
134.100,104.100,90.700,60.200,43.700,18.100,
,54.300,49.300,45.300,35.300,15.900,
110.900,80.800,66.300,47.200,34.800,15.400,
123.800,98.300,71.300,40.700,30.900,16.700,
97.000,70.200,52.900,35.200,18.900,7.800,
106.400,79.300,65.400,50.700,39.700,16.200,
77.500,50.600,29.600,20.300,13.100,5.000,
129.400,101.900,78.700,57.900,35.700,19.400,
127.300,99.200,72.300,47.300,31.800,17.100,
117.200,91.300,80.200,54.300,46.900,22.300,
,71.900,59.600,47.200,37.100,12.200,
117.300,86.600,71.700,58.100,45.300,15.800,
114.700,85.300,70.700,56.300,42.100,17.200,
108.300,81.900,66.100,54.900,41.100,14.600,
144.500,114.800,100.800,70.600,52.500,19.700,
104.100,80.300,65.500,35.800,23.200,10.600,
,91.600,65.600,41.400,28.900,9.500,
138.400,109.100,83.200,,,20.600,
124.500,108.600,93.000,76.300,61.900,16.700,
133.400,110.000,94.700,79.300,67.300,24.300,
,72.300,56.200,43.000,34.600,15.600,
104.100,80.300,65.500,35.800,23.200,10.600,
119.500,97.000,79.000,68.200,58.100,20.600,
103.300,67.500,55.900,43.700,34.000,11.200,
,67.800,58.300,49.800,37.900,15.800,
,57.000,46.600,45.300,35.300,15.900,
113.000,83.500,65.800,31.800,20.800,10.400,
,92.700,66.400,42.100,29.600,9.800,
110.600,90.000,71.000,51.800,38.900,19.100,
,70.600,58.500,46.300,36.400,12.000,
124.100,98.400,71.700,44.300,32.600,17.000,
126.900,91.300,65.500,41.600,29.300,10.000,
73.300,53.200,40.300,28.000,16.600,7.400,
132.600,100.100,78.600,47.300,34.600,17.100,
,72.500,55.300,43.900,35.400,16.400,
124.500,97.800,74.400,54.900,32.500,17.300,
,42.000,31.900,21.400,13.500,5.400,
95.100,70.400,63.600,48.900,37.000,14.300,
132.600,100.100,78.600,47.300,34.600,17.100,
88.200,58.800,38.200,24.500,16.000,6.200,
125.700,102.400,80.700,58.900,44.200,21.800,
,54.300,49.300,45.300,35.300,15.900,
