"Formosa doOeste",Arenosa,Mecanizada,3.456,3.270,4.910,4.342,5.165,8.182,10.909,12.587,10.699
Mecanizável,3.294,-,-,-,-,-,-,,,,
Não Mecanizável,1.200,-,-,-,-,-,-,,,,
Inaproveitáveis,1.100,-,-,-,-,-,-,,,,
