"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
,,,,,,,,,,,,
Antônio Olinto,Mista,Mecanizada,3.800,6.198,8.000,8.000,10.000,12.000,12.000,18.000,18.000,22.000
,Mecanizável,2.000,4.000,5.000,5.000,6.000,6.000,6.000,10.000,10.000,12.480,
,Não Mecanizável,1.200,2.000,2.200,2.200,2.480,2.600,2.600,5.000,5.000,6.800,
,Inaproveitáveis,200,200,300,300,300,500,1.201,1.500,1.500,1.900,
,,,,,,,,,,,,
Apucarana,Roxa,Mecanizada,11.450,13.700,13.700,15.500,16.900,21.700,23.440,24.800,30.600,32.900
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,5.490,6.800,7.000,8.000,8.900,10.500,11.340,11.990,13.600,14.650,
,Inaproveitáveis,1.500,1.500,1.500,2.200,2.400,2.400,2.590,2.770,4.500,5.000,
,,,,,,,,,,,,
Arapongas,Roxa,Mecanizada,11.450,13.900,14.000,16.000,17.800,23.760,25.660,28.900,34.800,38.000
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,5.490,6.800,7.000,8.000,9.000,11.000,11.880,12.810,15.200,16.600,
,Inaproveitáveis,1.600,1.600,1.600,2.200,2.400,2.400,2.590,3.120,5.200,5.700,
,,,,,,,,,,,,
,Mista,Mecanizada,11.450,13.500,13.600,15.500,17.000,22.800,24.620,28.900,34.800,38.000
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,5.490,6.800,7.000,8.000,9.000,11.000,11.880,12.810,15.200,16.600,
,Inaproveitáveis,,,,,,2.200,2.380,3.120,5.200,5.700,
,,,,,,,,,,,,
Arapoti,Mista,Mecanizada,7.400,8.880,8.740,10.660,10.660,10.660,12.000,22.700,24.200,26.400
,Mecanizável,5.500,6.600,7.860,9.590,9.590,9.590,10.500,18.100,18.300,19.300,
,Não Mecanizável,3.650,4.380,6.110,6.110,6.110,6.110,6.750,7.200,7.000,7.400,
,Inaproveitáveis,900,950,2.500,2.500,2.500,2.500,1.472,1.440,1.400,1.500,
,,,,,,,,,,,,
,Arenosa,Mecanizada,6.500,6.695,7.860,9.590,9.590,9.590,11.000,21.900,22.600,24.600
,Mecanizável,5.000,5.200,7.070,8.630,8.630,8.030,8.900,18.000,16.900,17.900,
,Não Mecanizável,3.500,3.600,5.500,5.500,5.500,5.500,6.200,7.200,7.000,7.400,
,Inaproveitáveis,700,720,2.500,2.500,2.500,1.000,1.472,1.440,1.400,1.500,
,,,,,,,,,,,,
Arapuã,Mista,Mecanizada,7.000,7.900,8.690,8.690,9.204,10.584,15.290,16.790,20.900,24.600
Mecanizável,5.000,5.500,6.050,6.050,6.408,7.369,9.997,9.890,15.400,21.700,,
Não Mecanizável,2.997,3.290,3.619,3.619,3.833,4.407,7.240,7.106,9.200,11.500,,
Inaproveitáveis,1.500,1.650,1.815,1.815,1.922,2.210,2.587,3.380,3.900,4.400,,
