A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,70.600,58.500,46.300,36.400,12.000,
100.300,75.200,55.400,34.500,23.300,10.700,
,77.000,58.200,43.200,35.400,15.900,
,72.900,63.400,49.900,39.200,14.400,
83.000,66.400,56.000,48.300,40.100,14.200,
97.900,83.300,67.700,34.100,25.200,10.000,
114.300,78.400,45.100,29.800,19.900,8.300,
,50.700,40.300,28.100,17.900,5.200,
,66.800,53.700,40.600,25.000,5.200,
116.500,89.900,73.300,40.000,26.000,11.800,
,73.400,57.600,45.900,35.100,15.500,
124.600,98.100,74.400,54.200,33.200,18.200,
124.500,101.900,84.000,70.400,59.200,21.200,
,52.500,49.300,40.900,35.300,15.900,
130.300,99.900,82.800,57.500,41.500,17.300,
128.400,100.100,75.100,55.900,33.800,18.400,
,93.200,66.900,42.600,30.100,10.300,
109.800,82.400,63.300,36.000,21.300,11.400,
98.600,77.100,52.400,28.400,16.700,10.600,
,63.200,52.400,40.900,32.100,10.800,
,73.700,63.500,49.900,39.200,15.900,
126.800,94.500,68.000,43.400,30.800,11.100,
82.900,61.400,49.300,45.300,35.300,15.900,
127.300,94.000,72.300,45.500,31.800,17.100,
111.200,78.700,60.600,32.200,21.700,10.400,
109.600,89.100,69.900,50.800,38.000,18.800,
81.200,68.500,57.400,47.400,,11.500,
130.200,102.500,79.100,58.100,,19.500,
116.400,86.200,71.400,57.300,43.100,15.800,
128.800,102.900,85.400,56.500,42.000,17.100,
133.100,102.700,83.800,45.700,29.600,13.500,
,43.300,32.800,22.300,13.700,5.600,
,74.700,63.200,49.700,39.000,12.400,
125.900,93.600,67.100,42.500,29.900,10.200,
112.700,85.300,73.800,52.200,42.500,19.000,
,50.700,43.900,40.900,35.300,15.900,
144.500,114.800,100.800,70.600,52.500,19.700,
,75.200,58.200,43.700,35.700,17.300,
112.800,86.600,68.100,48.600,37.500,18.700,
118.700,95.900,78.400,68.000,58.000,20.500,
125.900,93.600,67.100,42.500,29.900,10.200,
120.700,96.900,80.400,58.300,50.300,20.700,
103.700,83.800,66.100,48.500,36.600,17.900,
