"Entre Rios doOeste",Mista,Mecanizada,3.810,3.765,5.531,4.892,5.785,10.227,13.637,14.944,12.702
Mecanizável,3.125,-,-,-,-,-,-,,,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,1.270,-,-,-,-,-,-,,,,
