"Santana doItararé",Mista,Mecanizada,-,-.1,-.2,-.3,2.893,4.132,5.971,5.372,5.264
Mecanizável,-,-,-,-,-,-,-,,,,
Não Mecanizável,620,650,650,1.034,1.446,2.479,4.132,3.881,3.842,,
Inaproveitáveis,410,400,450,450,537,661,1.033,900,882,,
