A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
87.500,61.500,38.300,23.200,15.200,6.200,
,47.900,37.400,28.300,21.200,11.500,
80.200,63.400,48.000,31.800,21.000,8.500,
58.800,46.100,35.600,22.200,13.100,7.100,
99.600,75.200,59.600,40.000,27.300,14.200,
102.500,81.200,55.000,40.600,27.400,8.000,
92.900,73.600,45.000,34.600,25.300,13.500,
,34.500,26.500,16.700,8.900,5.100,
72.100,53.300,40.300,26.200,12.800,7.800,
117.900,96.000,71.900,46.900,39.100,20.100,
125.400,101.300,79.500,57.800,40.600,17.400,
,66.400,57.400,48.300,36.400,14.600,
93.100,73.700,45.100,34.700,25.300,13.500,
123.100,89.800,70.400,48.000,33.600,17.500,
126.500,99.200,78.600,48.100,31.700,12.900,
,50.200,39.300,29.400,22.500,11.100,
140.000,114.600,89.400,55.100,37.500,15.500,
77.400,61.000,46.200,30.500,20.300,8.200,
82.000,62.100,48.000,31.900,20.800,8.500,
,53.100,42.500,32.400,23.700,8.900,
102.600,77.300,63.200,46.100,,11.000,
129.800,101.400,73.100,43.800,31.300,16.900,
77.600,63.200,53.800,44.700,,10.500,
,53.100,43.300,32.800,23.700,9.000,
142.100,117.500,91.900,57.100,38.700,16.900,
127.800,99.600,74.400,56.400,34.100,18.400,
87.700,73.000,43.300,33.900,25.000,12.300,
82.900,62.300,48.800,32.200,20.800,8.600,
,53.300,42.600,32.800,23.500,8.900,
133.300,104.100,78.300,59.200,36.100,19.500,
144.000,112.500,84.600,64.100,,21.100,
,50.200,39.300,29.400,22.500,11.100,
81.200,62.200,50.900,31.900,25.400,12.800,
,52.200,43.300,34.400,30.500,9.600,
81.200,61.100,47.200,31.200,20.400,8.300,
135.100,108.200,85.100,53.100,35.600,14.900,
77.600,63.200,53.800,44.700,,10.500,
92.400,70.700,52.500,40.100,30.900,10.500,
,59.100,42.900,32.700,23.600,8.300,
134.500,112.700,84.900,47.400,35.800,14.900,
,52.200,43.300,34.400,30.500,9.600,
100.400,80.200,60.400,45.200,34.400,19.100,
76.500,64.800,46.500,25.700,17.200,7.700,
