Unnamed: 0,Unnamed: 1,Mecanizada,6.000,7.500,7.500.1,7.500.2,7.800,7.950,13.550,16.500,17.500,19.000
,,Mecanizável,4.000,5.000,5.000,5.000,5.200,5.350,10.800,13.200,13.100,13.800
,Mista,,,,,,,,,,,
,,Não Mecanizável,2.000,2.400,2.400,2.400,2.490,2.600,6.250,5.280,5.500,5.800
,,Inaproveitáveis,570,650,650,850,950,1.000,1.200,1.056,1.100,1.200
Imbaú,,,,,,,,,,,,
,,Mecanizada,5.500,6.600,6.600,6.700,6.950,7.400,8.300,15.700,16.800,18.300
,,Mecanizável,3.500,4.200,4.200,4.300,4.490,4.920,8.077,12.560,12.600,13.300
,Arenosa,,,,,,,,,,,
,,Não Mecanizável,1.800,2.200,2.200,2.300,2.410,2.710,3.845,5.020,5.500,5.800
,,Inaproveitáveis,550,650,650,700,730,790,1.166,1.000,1.100,1.200
