A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,67.700,50.700,38.700,31.900,15.200,
115.700,86.100,71.200,56.100,41.800,16.000,
101.000,79.900,72.500,45.800,39.700,15.800,
,58.800,48.800,38.200,30.100,9.900,
114.400,80.500,67.400,55.300,42.900,14.400,
137.700,101.900,76.900,46.600,32.500,17.800,
,68.100,52.500,38.700,26.900,13.800,
,69.400,53.200,38.700,26.200,13.100,
130.500,105.900,83.400,60.800,42.800,18.300,
119.600,89.500,74.600,59.600,44.600,16.000,
116.200,90.900,72.400,47.300,37.600,16.100,
80.500,58.600,43.900,30.400,17.900,8.000,
87.700,69.400,43.500,34.200,24.200,11.200,
119.100,104.000,86.600,44.400,36.200,10.000,
106.200,77.100,63.500,52.100,39.900,12.600,
101.000,79.900,71.200,46.200,39.700,16.500,
132.900,103.700,77.800,55.900,34.100,18.300,
,67.000,43.800,46.200,36.400,11.600,
108.900,80.600,66.000,48.700,,12.000,
115.300,94.400,79.000,60.000,43.900,17.800,
132.900,107.800,84.700,61.600,43.300,18.500,
101.000,79.900,71.200,46.200,39.700,16.500,
79.100,61.900,51.500,45.300,37.900,13.200,
75.500,57.600,48.000,21.900,13.900,7.100,
133.500,108.300,85.300,62.200,43.800,18.700,
126.900,98.100,80.000,56.100,40.000,18.100,
129.800,99.900,82.900,56.900,40.700,17.600,
71.600,53.500,40.600,27.600,15.500,6.900,
131.600,103.100,81.900,49.900,33.000,13.400,
142.300,111.300,87.700,43.900,30.800,13.900,
103.500,84.600,53.600,42.500,31.600,14.300,
137.700,102.800,76.900,42.900,32.500,17.800,
,53.100,47.000,41.100,35.300,15.800,
138.900,107.500,90.700,59.900,43.300,18.000,
141.300,106.000,83.500,51.000,37.600,19.400,
,64.900,53.900,42.600,33.500,10.800,
118.800,70.400,55.700,45.400,39.600,15.800,
150.700,120.200,101.400,74.600,53.200,20.100,
145.900,124.000,99.900,50.900,36.000,17.400,
143.200,108.300,83.400,50.300,35.200,17.800,
138.600,112.200,88.600,55.000,37.700,15.300,
104.600,85.100,62.800,46.300,37.900,8.800,
116.200,90.900,72.400,47.300,37.600,16.100,
