Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,35.300,29.800,24.800,19.800,,,
45.800,38.100,30.900,20.900,13.800,,,
42.900,35.700,28.900,17.300,13.800,,,
55.800,47.100,36.700,22.600,19.100,,,
46.700,38.900,31.500,21.300,14.100,,,
57.900,43.400,32.900,25.600,18.400,,,
48.100,33.900,21.800,12.800,9.100,,,
36.500,29.200,23.000,17.800,8.900,,,
64.900,46.600,32.500,24.800,19.300,,,
41.400,32.100,24.100,16.900,8.600,,,
44.000,34.400,26.300,18.400,9.300,,,
44.000,34.100,26.200,,9.200,,,
66.900,58.300,52.100,34.500,25.700,,,
49.200,39.000,24.500,23.100,16.700,,,
53.500,38.800,23.500,13.600,9.900,,,
49.300,34.600,22.000,12.800,9.600,,,
56.500,44.600,33.200,22.100,15.000,,,
64.600,47.700,34.000,23.600,17.500,,,
53.100,40.900,30.100,20.000,14.900,,,
,30.600,23.700,,15.400,,,
69.300,51.500,36.700,23.900,18.000,,,
53.700,40.700,30.200,19.700,13.600,,,
67.900,50.500,35.700,24.200,18.600,,,
37.800,34.400,28.200,15.800,13.300,,,
,24.300,19.400,,6.800,,,
69.100,51.000,35.900,23.200,17.300,,,
51.000,41.100,35.300,18.400,14.000,,,
43.600,32.800,26.700,22.600,18.300,,,
,35.300,30.700,24.800,19.800,,,
58.800,46.900,41.300,17.700,12.000,,,
51.300,44.800,37.100,28.000,14.000,,,
38.600,33.300,28.400,19.400,,,,
,32.800,24.900,,16.100,,,
,29.900,21.900,,12.500,,,
48.000,35.800,28.100,19.700,9.700,,,
67.400,50.200,36.500,25.800,19.500,,,
44.100,35.000,27.600,18.200,11.500,,,
39.700,31.000,25.100,,7.700,,,
53.100,42.400,33.500,18.400,13.900,,,
46.500,35.000,26.300,,16.400,,,
,28.000,20.000,11.300,6.800,,,
59.800,46.800,34.400,23.200,15.900,,,
57.800,39.400,26.500,24.800,19.800,,,
40.300,36.900,27.500,22.800,18.100,,,
52.200,40.200,28.400,20.600,16.700,,,
,28.700,23.300,,12.400,,,
62.700,49.700,33.500,22.000,16.100,,,
38.400,31.500,24.700,23.600,17.000,,,
45.500,35.600,25.700,19.800,14.200,,,
