Unnamed: 0,Mecanizada,5.306,6.367,7.640,8.884,10.314,11.364,13.223,15.987,19.421,22.335
Almirante,Mecanizável,5.306,5.306,6.112,7.231,8.252,9.256,10.826,12.790,15.537,17.557
MistaTamandaré,Não Mecanizável,1.983,2.066,2.479,2.893,3.223,3.595,4.835,5.436,6.603,7.462
,Inaproveitáveis,248,270,382,455,497,558,2.893,3.517,4.273,4.828
