Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
62.300,49.800,36.900,24.900,17.100,,,
,31.100,26.500,24.800,19.800,,,
56.800,45.100,35.600,24.900,20.300,,,
,21.800,16.200,,5.600,,,
56.100,43.800,32.700,21.900,15.200,,,
62.000,44.600,33.800,23.400,18.300,,,
64.200,47.800,36.500,22.000,15.700,,,
,31.900,28.200,24.800,19.800,,,
48.200,37.200,28.000,19.900,14.500,,,
52.000,41.400,34.700,24.800,20.300,,,
51.800,39.600,29.700,19.800,14.800,,,
48.000,35.800,28.100,19.700,9.700,,,
56.500,40.800,30.900,21.500,16.900,,,
40.000,33.100,27.800,15.400,9.900,,,
,28.500,23.200,,12.500,,,
59.200,46.800,34.000,22.400,14.800,,,
47.800,38.000,31.100,22.800,18.300,,,
65.400,54.600,46.000,34.400,25.300,,,
44.900,37.800,29.400,18.200,15.300,,,
41.900,35.800,30.300,21.100,,,,
64.200,47.800,36.000,22.100,15.700,,,
80.600,60.000,43.100,27.600,,,,
49.500,34.700,21.100,12.300,9.100,,,
61.900,47.800,38.200,29.000,19.800,,,
59.000,46.600,34.900,23.800,16.000,,,
,27.500,20.500,9.800,7.400,,,
49.100,37.900,26.300,,13.400,,,
54.600,39.100,28.400,22.700,17.100,,,
48.400,34.100,21.500,12.800,9.100,,,
45.200,34.500,24.800,,13.800,,,
62.700,49.600,35.700,21.800,,,,
,30.700,24.300,22.700,16.600,,,
40.900,33.900,25.200,17.000,8.400,,,
,30.000,22.700,,10.400,,,
38.600,32.000,24.600,22.700,16.600,,,
37.800,34.400,28.200,15.800,13.300,,,
48.000,38.700,31.500,20.500,15.000,,,
57.200,40.000,22.300,13.200,9.400,,,
29.200,24.400,15.800,11.100,4.700,,,
40.600,32.700,26.500,19.000,8.900,,,
52.500,43.700,35.000,17.700,11.400,,,
,28.100,23.000,,12.200,,,
65.000,48.300,34.100,23.900,18.500,,,
54.200,45.700,35.600,21.900,18.500,,,
,33.600,29.000,24.800,19.800,,,
54.000,43.200,35.500,22.100,19.300,,,
64.000,46.300,32.700,23.800,18.400,,,
,35.800,26.000,,13.000,,,
45.500,36.300,27.600,17.600,9.200,,,
