Francisco Alves,Mista,Mecanizada,2.500,2.900,3.000,3.300,5.785,12.000,16.500,12.000.1,10.330
,Mecanizável,2.050,2.300,2.500,2.800,5.570,11.000,15.500,10.500,9.500,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,-,-,-,-,-,-,-,,,
,,,,,,,,,,,
Roxa,Mecanizada,2.000,2.200,2.500,2.900,4.545,10.000,12.500,9.500,8.264,
,Mecanizável,1.800,1.900,1.900,2.300,4.340,9.000,11.500,8.000,7.438,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,-,-,-,-,-,-,-,,,
,,,,,,,,,,,
Mista,Mecanizada,1.450,1.650,2.066,2.500,3.300,7.000,8.500,6.200,6.200,
Mecanizável,1.250,1.500,1.650,2.000,3.100,6.000,7.500,5.500,5.372,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,-,-,-,-,-,-,-,,,,
