Unnamed: 0,Unnamed: 1,Mecanizada,1.735,1.735.1,1.800,2.500,2.893,4.132,7.609,6.871,6.612
,,Mecanizável,-,-,-,-,-,-,-,,
,Roxa,,,,,,,,,,
,,Não Mecanizável,830,830,850,1.240,1.860,2.187,4.028,3.637,3.601
,,Inaproveitáveis,500,500,500,500,620,785,1.033,900,882
Jundiaí do Sul,,,,,,,,,,,
,,Mecanizada,1.446,1.500,1.500,2.066,2.686,3.306,7.555,5.900,5.841
,,Mecanizável,1.157,1.157,1.200,1.860,-,-,-,,
,Mista,,,,,,,,,,
,,Não Mecanizável,830,830,850,1.034,1.446,1.860,3.200,2.500,2.479
,,Inaproveitáveis,500,500,500,500,537,661,1.033,810,800
