A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
56.800,40.800,32.800,16.300,8.600,3.900,
66.200,39.500,28.100,13.700,8.500,4.200,
118.600,95.900,75.400,54.900,38.600,16.600,
,69.700,59.400,44.900,34.800,15.700,
,56.900,50.900,44.900,34.800,15.700,
135.100,108.200,85.100,53.100,35.600,14.900,
69.000,51.800,39.100,25.500,12.600,7.600,
126.500,99.200,78.600,48.100,31.700,12.900,
,56.400,41.700,33.200,25.400,12.800,
91.200,64.400,35.900,21.300,14.800,6.200,
95.600,70.900,55.700,32.800,22.500,8.100,
58.500,45.500,37.300,25.700,12.500,7.000,
93.300,78.200,46.400,36.200,26.800,13.300,
98.700,78.500,59.500,39.200,30.100,15.000,
,52.200,42.600,32.600,23.200,8.900,
130.100,104.200,82.000,51.700,35.400,13.300,
96.000,68.500,54.100,32.400,22.600,8.900,
,41.400,32.800,22.300,14.600,4.000,
88.000,70.400,52.600,34.900,28.900,14.100,
80.000,66.900,52.800,30.800,19.200,8.400,
115.200,86.600,59.800,38.300,25.700,8.000,
,52.500,42.800,32.600,23.300,8.900,
,45.400,26.400,15.000,8.500,3.500,
98.700,78.500,59.500,39.200,30.100,15.000,
147.500,122.100,98.100,59.400,40.800,17.600,
104.300,77.800,63.800,46.500,,11.000,
106.400,84.900,63.700,41.700,34.800,17.100,
78.200,52.300,33.800,19.000,12.200,5.000,
123.300,99.800,78.500,57.100,40.200,17.300,
,59.300,45.400,33.600,22.900,12.200,
58.500,45.500,37.300,25.700,12.500,7.000,
135.200,101.400,76.600,46.400,33.100,16.900,
105.700,82.800,54.100,36.800,21.800,8.400,
,53.100,42.600,32.800,23.400,9.000,
118.600,95.900,75.400,54.900,38.600,16.600,
72.000,53.500,40.700,26.200,12.800,7.800,
116.800,91.000,68.000,51.400,31.200,16.800,
86.500,71.600,65.400,40.600,28.300,8.600,
123.300,99.800,78.500,57.100,40.200,17.300,
142.100,117.500,91.900,57.100,38.700,16.900,
64.400,51.700,38.600,23.100,13.700,7.100,
147.500,122.100,98.100,59.400,40.800,17.600,
,70.300,54.900,32.400,22.200,7.800,
