Guaraci,Arenosa,Mecanizada,2.000,3.512,2.272,3.100,3.925,5.370,12.400,10.300,8.300
,Mecanizável,-,-,-,2.686,3.720,4.960,12.400,10.300,8.300,
,Não Mecanizável,1.100,2.066,1.859,1.860,2.686,3.720,4.200,6.200,4.950,
,Inaproveitáveis,1.000,2.066,-,-,-,-,-,,,
,,,,,,,,,,,
Roxa,Mecanizada,1.700,2.066,2.066,2.893,3.530,5.400,9.000,6.200,6.000,
,Mecanizável,-,-,-,2.480,3.000,4.200,9.000,6.200,6.000,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,-,-,-,-,-,-,-,,4.400,
,,,,,,,,,,,
Mista,Mecanizada,1.500,2.066,1.652,2.273,3.305,4.960,8.300,5.400,4.400,
Mecanizável,-,-,-,1.653,3.305,4.200,8.300,5.400,4.400,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,-,-,-,-,-,-,-,,,,
