Unnamed: 0,Unnamed: 1,Mecanizada,3.300,3.500,3.500.1,2.850,3.100,7.500,9.200,9.100,9.600
,,Mecanizável,1.700,1.900,1.900,1.600,1.740,4.500,7.300,7.150,7.650
,Mista,,,,,,,,,,
,,Não Mecanizável,900,1.100,1.100,1.000,1.070,2.300,4.850,4.800,4.700
,,Inaproveitáveis,300,350,350,300,300,500,750,850,800
Carambeí,,,,,,,,,,,
,,Mecanizada,3.200,3.300,3.300,2.650,2.990,6.350,8.100,8.100,8.000
,,Mecanizável,1.600,1.800,1.800,1.500,1.680,4.300,6.000,6.000,5.700
,Arenosa,,,,,,,,,,
,,Não Mecanizável,850,950,950,950,1.100,2.200,4.030,4.030,4.030
,,Inaproveitáveis,250,300,300,300,320,480,590,600,550
