Unnamed: 0,Unnamed: 1,Mecanizada,11.983,17.355,21.748,20.443,22.250,26.650,27.900,41.322,45.500,53.179
,,Mecanizável,9.917,14.463,15.800,15.150,16.280,22.759,23.800,35.132,36.400,45.661
,Mista,,,,,,,,,,,
,,Não Mecanizável,6.446,9.917,11.007,10.237,11.350,11.500,11.500,13.500,15.000,21.487
,,Inaproveitáveis,1.178,1.428,1.500,1.283,1.610,3.800,4.000,4.000,4.500,4.700
Goioerê,,,,,,,,,,,,
,,Mecanizada,10.165,14.112,14.897,14.600,15.000,19.500,20.475,35.123,38.635,42.000
,,Mecanizável,8.182,11.687,13.172,12.645,12.900,18.300,19.300,29.855,30.910,35.000
,Roxa,,,,,,,,,,,
,,Não Mecanizável,5.372,8.820,8.932,8.573,9.115,10.100,10.100,10.500,11.500,12.000
,,Inaproveitáveis,909,1.101,1.200,1.175,1.200,3.000,3.500,4.000,4.000,4.000
