A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
141.100,119.100,92.600,55.200,37.300,16.800,
110.800,86.300,76.300,50.400,42.200,18.300,
121.000,95.500,72.600,52.800,32.600,17.700,
104.800,74.500,58.000,49.600,39.500,15.700,
78.800,61.900,51.500,47.300,39.600,13.800,
128.100,101.100,77.200,56.400,34.800,18.900,
,59.700,49.400,45.300,35.200,15.700,
115.600,90.600,72.400,48.400,32.000,16.800,
106.600,84.800,68.100,49.900,37.500,19.000,
128.000,107.100,91.900,72.500,52.900,21.100,
118.000,92.300,73.400,49.300,39.300,16.800,
122.800,99.800,78.700,57.400,40.400,17.300,
81.400,56.300,36.000,24.200,16.400,6.600,
67.100,48.600,37.600,27.000,15.700,6.300,
121.000,95.500,72.600,52.800,32.600,17.700,
77.300,56.000,41.700,29.600,16.900,7.500,
72.800,57.000,40.500,26.800,15.700,6.600,
68.800,51.100,39.200,25.800,15.100,6.600,
125.000,101.600,80.100,58.400,41.200,17.600,
92.000,74.700,48.500,37.300,28.300,10.500,
90.900,64.800,39.100,25.800,17.800,7.200,
83.700,57.800,36.400,24.400,17.100,7.000,
124.600,100.900,78.700,49.300,33.700,12.700,
122.000,95.300,71.500,52.900,32.200,17.300,
106.900,80.100,58.200,36.800,24.000,9.200,
,71.400,59.500,46.800,34.200,16.100,
119.800,94.800,72.100,52.300,32.200,17.400,
105.600,76.300,55.400,35.100,22.800,8.600,
121.900,96.200,73.200,53.200,32.800,17.700,
78.800,61.900,51.500,47.300,39.600,13.800,
,45.400,34.200,22.400,13.700,5.600,
122.000,96.200,73.000,53.000,32.600,17.700,
115.600,89.900,78.100,41.500,32.900,11.300,
102.300,76.000,63.600,52.400,40.200,14.200,
,72.000,62.900,52.400,40.200,14.200,
129.100,103.400,92.000,39.700,28.100,13.100,
88.500,66.300,54.600,38.100,21.600,8.500,
78.100,64.600,54.700,45.200,,11.000,
,78.800,59.700,48.100,36.800,10.900,
,69.100,52.600,39.900,32.500,15.700,
79.700,55.500,42.900,29.300,16.600,7.200,
122.700,96.800,73.900,53.900,33.300,18.100,
108.500,78.800,65.700,52.900,41.300,13.600,
