A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
104.100,80.200,65.200,35.800,23.200,10.600,
117.900,90.900,74.200,40.500,26.300,11.900,
109.600,89.100,69.900,50.800,38.000,18.800,
,57.500,42.900,22.300,13.200,5.800,
127.200,102.600,81.700,49.300,34.000,12.900,
84.700,70.400,51.100,45.300,35.300,15.900,
,67.200,55.700,43.700,34.000,11.200,
115.400,87.000,76.700,53.300,43.600,18.800,
,73.000,55.700,39.100,28.400,15.100,
114.900,91.600,71.200,42.300,28.300,14.900,
,74.700,63.200,49.700,39.000,12.400,
86.000,72.200,58.800,30.400,21.400,8.800,
129.000,106.400,84.600,51.800,35.700,15.400,
,61.400,49.300,45.300,35.300,15.900,
134.100,104.100,90.700,60.200,43.700,18.100,
,43.800,32.400,21.700,13.100,5.600,
124.800,99.600,78.500,49.000,33.900,12.600,
120.000,97.800,77.100,56.200,42.200,20.800,
127.300,94.000,74.100,45.500,31.800,17.100,
,57.000,49.300,45.300,35.300,15.900,
102.700,85.800,71.100,36.300,24.400,10.500,
104.900,85.300,67.300,49.100,36.900,18.100,
115.100,86.600,76.200,52.900,43.700,18.700,
81.900,56.900,43.900,29.800,16.900,7.300,
111.300,90.600,71.500,52.200,39.200,19.300,
91.800,72.300,63.100,26.700,16.500,10.200,
,72.000,56.600,43.100,32.700,14.600,
126.000,101.100,79.800,48.900,32.800,13.300,
126.100,98.700,78.200,56.300,41.000,17.100,
144.500,114.800,100.800,70.600,52.500,19.700,
111.100,85.800,72.400,60.600,51.200,18.500,
109.700,79.500,66.200,48.700,,11.900,
127.500,94.000,72.300,45.500,31.800,17.100,
147.300,114.300,88.700,65.900,40.500,22.100,
97.100,66.800,40.500,27.400,19.100,7.800,
103.400,79.300,69.000,49.800,39.700,15.900,
126.900,103.500,83.300,51.500,34.500,16.300,
,49.800,33.400,23.500,14.200,5.800,
110.000,83.700,69.500,47.500,40.600,18.000,
105.400,85.500,67.500,49.400,37.100,18.200,
95.000,65.600,41.300,28.600,19.300,7.900,
109.300,83.500,69.600,47.800,41.000,18.000,
124.900,98.400,71.700,44.300,31.600,17.000,
